entity,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting,task,is_correct,model_family,model_size,correct_first,exemplar,exemplar_de,unique_id,syllogism_name,order_first,is_valid,is_realistic,is_consistent,profession
United Arab Emirates,Abu Dhabi,Dubai,gpt2-medium,11.0,has_competitor,5.186064,3.837627,0.5,0.0067567567567567,-2.276738,-7.963296,0.4468993000000001,3.554056000000001,88.82656765,0,1.9658527699999997,1.9658527699999997,1.0,4.195362855389334,15,141.4475578,14,59.2867476,8.05401148,21,8.658190000366274,25.048533944133336,16,capitals-recall,True,GPT-2,355,,,,,,,,,,
Alabama,Montgomery,Birmingham,gpt2-medium,12.0,has_competitor,5.59595,3.5961852,0.25,0.0002271178741766,-3.0234146,-13.558078,-1.0684434000000005,-2.2407439999999994,90.89584374,15,4.4893548,4.4893548,1.0,1.9078721973141173,18,254.9306594,15,0.0,64.0280138,20,5.4176993393360416e-15,4.726288249248951,16,capitals-recall,False,GPT-2,355,,,,,,,,,,
Alaska,Juneau,Anchorage,gpt2-medium,13.0,has_competitor,5.32473,3.6995327,0.0072463768115942,0.001063829787234,-7.281647,-10.944353,-5.876495200000001,9.089018,88.97544193,15,13.737946399999998,13.737946399999998,1.0,0.0346035764241924,21,276.1483485,21,109.93498599999998,100.9798837,21,1.6720894195565576e-14,47.52812710868447,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
California,Sacramento,Los Angeles,gpt2-medium,14.0,has_competitor,6.2760687,3.4695163,0.0454545454545454,9.44733112895607e-05,-5.1449356,-15.735276,-0.8300245999999998,-5.007431,94.0707254,15,5.6976554,5.6976554,1.0,0.8287353121090308,18,282.0170195,14,0.0,89.41546439999998,14,1.5729723113439376,1.127697768909491,15,capitals-recall,False,GPT-2,355,,,,,,,,,,
Connecticut,Hartford,Bridgeport,gpt2-medium,15.0,has_competitor,6.2673364,3.5148873,0.5,5.646846236376983e-05,-2.8461697,-17.227476,2.7486799,-1.6402779999999986,94.7842523,15,3.8402675000000017,2.428006999999999,0.6666666666666666,3.707877293500106,20,262.06032633,14,50.93286677,25.464942000000004,15,18.361983969525127,0.0,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
Delaware,Dover,Wilmington,gpt2-medium,16.0,has_competitor,5.966248,3.650648,0.1428571428571428,0.0003291639236339,-4.253066,-12.9056835,-2.2843476999999996,0.4098854999999997,95.568294,0,2.7651784,2.7651784,1.0,0.9145757739122172,18,230.1983566,14,26.022009500000003,28.58735255000001,21,6.10821673288945e-15,8.219093258692858,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Florida,Tallahassee,Jacksonville,gpt2-medium,17.0,has_competitor,5.796401,3.6754684,0.1111111111111111,0.0001571832756994,-3.9381642,-14.227855,-0.2596054000000003,-1.1335569999999997,90.75618,15,3.2886276000000003,3.2886276000000003,1.0,0.6772001683593114,18,280.99730309999995,21,2.334976000000001,40.0458492,12,5.052648661770396,7.332498306857577,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
Illinois,Springfield,Chicago,gpt2-medium,18.0,has_competitor,5.8679357,3.6153688,0.5,0.0005324813631522,-2.7519734,-12.040838,-0.9371566999999998,-2.6353810000000006,89.40299093,15,4.84830917,4.84830917,1.0,2.294211404099565,20,236.8960055,14,0.0,78.52064985599999,21,4.491935587138558,8.97058716197605,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
Kansas,Topeka,Wichita,gpt2-medium,19.0,has_competitor,6.123128,3.9677331,0.0666666666666666,0.0006172839506172,-4.9874716,-11.566664,-2.6534653,-0.649799999999999,96.02312888,0,12.1909922,12.1909922,1.0,0.1146050769171971,22,274.0154496,21,14.392953999999998,86.68970399999999,20,1.2688866704247927e-14,10.742735026964038,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Kentucky,Frankfort,Louisville,gpt2-medium,20.0,has_competitor,5.884152,3.6947336,0.0067114093959731,0.0001498576352465,-7.3196487,-14.340137,-4.6891327,-2.883103,101.1860754,0,8.79730624,8.79730624,1.0,0.0328665056460035,21,284.42457620000005,21,2.415497,92.64948384000002,21,1.3073164015072326e-14,7.9464226206713855,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Louisiana,Baton Rouge,New Orleans,gpt2-medium,21.0,has_competitor,6.0015936,3.8424702,1.0,0.0003912363067292,-2.6895006,-12.444681,0.1493910999999999,-2.778310999999998,90.19786376,15,5.632720500000001,5.632720500000001,0.6666666666666666,5.148471630024657,20,221.51274198,14,52.08716232,53.27509249999999,14,26.98767166901895,1.4332775934789366,14,capitals-recall,True,GPT-2,355,,,,,,,,,,
Maine,Augusta,Portland,gpt2-medium,22.0,has_competitor,6.494087,3.6043482,0.2,0.0001720874204095,-3.7082157,-14.187058,-0.6940230999999999,-1.5307670000000009,103.88838185,19,2.462988,2.462988,1.0,0.9942216291567084,19,266.3562965,15,0.0,46.8280316,8,6.826404344735373,1.8283630523089427,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
Maryland,Annapolis,Baltimore,gpt2-medium,23.0,has_competitor,5.7857656,3.519736,0.2,0.0047169811320754,-3.4889364,-8.701096,-1.3579559,3.629106,93.57811613,0,7.119033849999999,7.119033849999999,1.0,0.8609610344054303,21,192.5178084,21,45.11448610000001,40.278280290000005,21,9.740297658646207e-15,26.261748511608403,14,capitals-recall,False,GPT-2,355,,,,,,,,,,
Michigan,Lansing,Detroit,gpt2-medium,24.0,has_competitor,5.7481666,3.750851,0.1428571428571428,5.632533513574406e-05,-3.7813501,-17.00357,-1.8846741,-7.473380000000001,91.86212684,0,7.424200900000001,7.424200900000001,1.0,1.2047139797316215,19,290.4927064,14,0.0,136.35152856000002,20,6.9607440402110515e-15,8.326644682541021,2,capitals-recall,False,GPT-2,355,,,,,,,,,,
Minnesota,St. Paul,Minneapolis,gpt2-medium,25.0,has_competitor,6.047344,3.6874657,1.0,0.0044843049327354,-2.5665023,-8.71276,0.2777939000000002,5.192139000000001,100.26879087,19,9.65459647,9.65459647,1.0,1.7860513747535325,22,187.541275,20,62.70182529999999,29.43349072,20,5.766207451114394,0.0,8,capitals-recall,True,GPT-2,355,,,,,,,,,,
Montana,Helena,Billings,gpt2-medium,26.0,has_competitor,6.487557,4.0831394,0.5,6.311537490532694e-05,-2.89934,-16.392305,2.6839596,-6.6093364999999995,103.71561884,19,8.108585000000001,8.108585000000001,0.7916666666666666,1.969008152215015,21,303.7651998,20,22.8331267,102.6237694,19,1.2295700540991536e-14,0.0,19,capitals-recall,True,GPT-2,355,,,,,,,,,,
Nebraska,Lincoln,Omaha,gpt2-medium,27.0,has_competitor,5.9130807,3.8163438,0.5,0.0014471780028943,-3.1702185,-10.250572,-1.5059889999999998,2.706225,99.3406043,0,4.2608109800000005,4.2608109800000005,1.0,1.936692701301366,18,195.1860785,13,48.217189799999986,25.27606036,21,8.413275063802197e-15,8.969565311633904,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Nevada,Carson City,Las Vegas,gpt2-medium,28.0,has_competitor,5.190172,3.5818717,0.0833333333333333,0.0001924557351809,-4.707139,-14.060556,-3.0626907999999995,-1.0322870000000002,87.8525702,15,5.782881599999999,5.782881599999999,1.0,0.3574511187830169,21,298.348255,21,0.0,88.07532450000001,18,4.945714099197044,9.31590944164254,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
New Hampshire,Concord,Manchester,gpt2-medium,29.0,has_competitor,6.222848,3.501379,0.1666666666666666,0.0003421142661648,-3.4737449,-12.848887,-0.3264465999999997,-1.16221,106.4266245,0,3.740934399999999,3.740934399999999,1.0,0.6049960301992339,19,257.681026,15,0.0,44.246463799999994,15,11.313069552761338,0.0,15,capitals-recall,False,GPT-2,355,,,,,,,,,,
New Jersey,Trenton,Newark,gpt2-medium,30.0,has_competitor,6.2498293,3.4037263,0.1,7.962417389919579e-05,-4.2728214,-16.174288,-1.0253066999999998,-2.4027140000000013,102.17820964,19,6.000891,6.000891,1.0,0.3853201517662523,19,302.0976291,15,0.0,65.54644984,21,0.2453550758407522,18.02155409603377,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
New Mexico,Santa Fe,Albuquerque,gpt2-medium,31.0,has_competitor,5.540534,3.9000793,0.2,0.0005892751915144,-3.3475568,-11.678441,-1.4566498,3.431000000000001,94.13226512,0,4.971365034,4.971365034,1.0,1.4443396804684956,21,242.3123939,21,29.8408092,30.5864759,21,4.946320929521903,16.676801237404938,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
New York,Albany,New York,gpt2-medium,32.0,has_competitor,6.2757835,3.2682698,0.027027027027027,7.181328545780969e-05,-5.5945444,-16.52732,-2.5101087000000004,-6.5180039999999995,101.6410536,0,4.726062800000001,4.726062800000001,1.0,0.3311684426702669,19,300.716431,15,0.0,123.82982474,13,0.3359865841339404,0.0,15,capitals-recall,False,GPT-2,355,,,,,,,,,,
North Carolina,Raleigh,Charlotte,gpt2-medium,33.0,has_competitor,5.7537527,3.4592385,0.5,0.0007189072609633,-2.5661554,-11.715361,-0.2202910999999998,-1.73968,98.6165391,0,3.6203209,3.6203209,1.0,3.1020885882765006,15,213.6389261,14,0.0,40.18888142,15,8.774568407285466,0.0,15,capitals-recall,False,GPT-2,355,,,,,,,,,,
North Dakota,Bismarck,Fargo,gpt2-medium,34.0,has_competitor,6.2408614,3.6482782,0.04,0.0070921985815602,-5.3234873,-8.016151,-1.9289167,9.092038,103.9013395,19,8.3411014,8.3411014,1.0,0.2981889698905281,21,181.9971815,20,133.25538580000003,34.6311131,20,1.7202996457085136e-14,0.0,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Oregon,Salem,Portland,gpt2-medium,35.0,has_competitor,6.016558,3.9497113,0.5,9.16590284142988e-05,-3.1576867,-15.365079,-1.1112442000000002,-4.077278,96.53500407,15,7.72611513,7.72611513,1.0,1.3064132854730084,21,296.1199781,20,0.0,105.27650694,20,7.439241908638395e-15,22.90420647890857,17,capitals-recall,False,GPT-2,355,,,,,,,,,,
Pennsylvania,Harrisburg,Philadelphia,gpt2-medium,36.0,has_competitor,5.9661694,3.8053725,0.1666666666666666,0.0003255208333333,-3.8692381,-12.7174,-1.9092636,0.32287,100.53165166,0,6.68080004,6.68080004,1.0,0.5273087011814336,21,251.85246539999997,21,15.259383,43.67908134,21,4.074336182722922,8.586035944414771,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
South Dakota,Pierre,Sioux Falls,gpt2-medium,37.0,has_competitor,6.1614656,4.040366,0.002415458937198,0.0001279426816786,-8.185272,-14.385333,-5.7521434,1.9402380000000008,103.1439145,19,10.951046930000002,10.951046930000002,1.0,0.0087911915830777,21,336.525021,21,15.459284000000002,106.15054825,21,1.2489726772790778e-14,9.14983635999372,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Texas,Austin,Houston,gpt2-medium,38.0,has_competitor,4.7771535,3.6007922,1.0,0.000981354268891,-1.4885523,-11.1303425,0.4955825999999999,0.7576065000000014,87.73576484,15,1.3844746999999995,1.3844746999999995,0.9583333333333334,4.394398273920013,21,188.9882189,14,8.210057000000003,7.594555259999997,17,0.6180457698359989,14.938445872616017,8,capitals-recall,True,GPT-2,355,,,,,,,,,,
Vermont,Montpelier,Burlington,gpt2-medium,39.0,has_competitor,6.1147223,3.7304742,0.0256410256410256,0.0003064664419246,-5.9290295,-12.924728,-3.164680300000001,-0.3548849999999994,97.1034248,0,7.1312297,7.1312297,1.0,0.1832933231775868,19,261.44154979999996,21,8.532756999999998,54.392718900000006,21,1.1669407277742566e-14,2.474079518939578,19,capitals-recall,False,GPT-2,355,,,,,,,,,,
Virginia,Richmond,Virginia Beach,gpt2-medium,40.0,has_competitor,5.6508255,3.897614,1.0,0.0002577319587628,-1.9759964,-13.102011,1.9162369999999995,-3.5476229999999997,92.38032857,15,4.145363,4.140965000000001,0.8333333333333334,6.538430509901673,18,206.25034834,14,5.839088759999999,59.666530410000014,18,2.7226958546978257,8.199507196721363,14,capitals-recall,True,GPT-2,355,,,,,,,,,,
Washington,Olympia,Seattle,gpt2-medium,41.0,has_competitor,6.4316444,3.042879,0.0227272727272727,9.512937595129375e-05,-5.8895445,-15.851483,-1.0530930000000005,-2.6820199999999996,101.0843012,0,3.8499599999999976,3.8499599999999976,1.0,0.0963990526706243,19,317.32106469999997,19,0.0,80.40555890000002,7,9.302532031925187,0.0,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
Wisconsin,Madison,Milwaukee,gpt2-medium,42.0,has_competitor,5.361625,3.5415378,1.0,0.0001478852410529,-1.5820006,-14.486028,0.6688843999999998,-0.3473319999999997,97.1312924,0,2.9070833499999997,2.9070833499999997,1.0,3.1455414485074247,22,242.2401028,14,6.569064800000002,13.301181949999997,12,4.7487878385643185,1.712689957094513,8,capitals-recall,True,GPT-2,355,,,,,,,,,,
Austria,Vienna,Graz,gpt2-medium,43.0,no_competitor,3.7897186,3.9595852,1.0,0.0010752688172043,-0.6655252,-10.752217,5.0850067999999995,-2.5443130000000007,88.25287012999999,0,4.223049000000001,4.1576010000000005,0.6666666666666666,8.271355846026418,15,167.112443022,14,85.831805178,48.03778790000001,14,1.4699972337967782e-14,6.089162904038321,19,capitals-recall,True,GPT-2,355,,,,,,,,,,
Egypt,Cairo,Alexandria,gpt2-medium,44.0,no_competitor,4.0335364,3.5450726,1.0,0.001008064516129,-0.9830985,-11.100716,1.130394,5.179781,78.61465756499999,15,0.0,0.0,0.0416666666666666,8.195674225319753,15,167.76281899,13,119.70818381,0.0,15,15.384460176535525,1.3888013729445423,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
France,Paris,Marseille,gpt2-medium,45.0,no_competitor,5.6522474,3.3777587,1.0,0.0016313213703099,-1.7484325,-10.371698,2.2194749,6.823915999999999,83.83307294,16,0.0,0.0,0.0416666666666666,8.532835331648794,15,164.353002447,14,129.47738705299997,0.0,8,7.332761977541868,0.0,8,capitals-recall,True,GPT-2,355,,,,,,,,,,
Germany,Berlin,Hamburg,gpt2-medium,46.0,no_competitor,5.6687803,3.388279,1.0,0.0010060362173038,-2.056302,-11.18862,1.9089967,4.576703999999999,89.94390586,16,0.0,0.0,0.0416666666666666,8.14356782811858,15,179.47495627,14,101.68724283,0.0,9,4.5166621316355355,0.0,16,capitals-recall,True,GPT-2,355,,,,,,,,,,
Italy,Rome,Milan,gpt2-medium,47.0,no_competitor,4.0432086,3.728279,1.0,0.0005091649694501,-0.9751569,-12.104166,1.8090743,-0.7813489999999987,87.98017947,0,2.231333000000001,2.2133160000000007,0.7083333333333334,7.62514444176663,15,188.47052456000003,13,10.80468944,20.5508525,19,5.009379798956236,0.0,16,capitals-recall,True,GPT-2,355,,,,,,,,,,
Japan,Tokyo,Yokohama,gpt2-medium,48.0,no_competitor,4.908576,3.3986444,1.0,0.001531393568147,-1.3997381,-10.546829,3.5289919,6.5111159999999995,79.59728048099998,0,0.0,0.0,0.0416666666666666,9.028688392850484,14,179.1958490625,14,140.61568653749998,0.0,14,12.042250830149168,0.0,16,capitals-recall,True,GPT-2,355,,,,,,,,,,
Korea,Seoul,Busan,gpt2-medium,49.0,no_competitor,4.668892,3.6693323,1.0,0.0007776049766718,-1.116995,-11.5070715,4.0031203,1.3673015,84.37684584,0,2.5926530000000003,0.502815,0.3333333333333333,8.20734984562669,15,192.997934735,14,116.640338565,11.051908,14,21.92196709369164,1.2659261979147909,16,capitals-recall,True,GPT-2,355,,,,,,,,,,
Russia,Moscow,Saint Petersburg,gpt2-medium,50.0,no_competitor,5.7089586,3.1955411,1.0,0.0014144271570014,-2.1234984,-10.77845,2.4348679000000004,3.028488000000001,80.60584320000001,16,0.0,0.0,0.0416666666666666,8.368474122815474,15,151.706698087,14,132.810408313,0.0,14,0.8139045350896507,0.0,8,capitals-recall,True,GPT-2,355,,,,,,,,,,
Spain,Madrid,Barcelona,gpt2-medium,51.0,no_competitor,4.980699,3.5742965,1.0,0.0002819283901888,-1.615657,-13.256592,0.2596435000000001,-2.351037999999999,87.54359276000001,0,3.066134,3.066134,0.8333333333333334,6.376574882583517,18,212.07364376,14,2.4893967000000004,31.0712379,14,2.1474170399548647,4.202308850492663,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
Sweden,Stockholm,Gothenburg,gpt2-medium,52.0,no_competitor,4.6484876,3.8830101,1.0,8.961376467425397e-05,-1.2521605,-15.499212,0.8128433999999998,-1.0864659999999997,85.72347293,0,1.577653999999999,1.577653999999999,0.6666666666666666,6.773027434243975,17,218.223846052,14,72.961595148,5.5558890000000005,14,0.6879253711076165,0.0,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
United Kingdom,London,Birmingham,gpt2-medium,53.0,no_competitor,5.233842,3.1832883,1.0,0.00625,-1.4812583,-8.458457,1.4649277,3.3812240000000013,80.7418724,15,0.0,0.0,0.0416666666666666,9.128874261139847,14,130.16554637400003,14,95.547843826,0.0,0,14.779647421313886,3.2062045008147972,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
Arizona,Phoenix,Tucson,gpt2-medium,54.0,no_competitor,4.5098577,4.143574,1.0,0.000813669650122,-1.0586829,-11.027321,1.4622574,1.7608339999999991,94.7438693,15,1.2294215999999998,1.2294215999999998,0.9166666666666666,5.242223545487767,20,176.11660497999998,14,39.64217498,2.28134722,11,6.896610449073963e-15,15.470796647010932,5,capitals-recall,True,GPT-2,355,,,,,,,,,,
Colorado,Denver,Colorado Springs,gpt2-medium,55.0,no_competitor,5.696261,3.763807,1.0,0.000616903146206,-1.7975777,-11.679368,1.7225114,-2.342981,92.13445882,15,2.580399999999999,2.342981,0.9583333333333334,6.572860888177511,16,182.0218476,14,4.2750208700000005,27.410078359999996,21,5.0624360029315945,2.7980355380471664,14,capitals-recall,True,GPT-2,355,,,,,,,,,,
Georgia,Atlanta,Augusta,gpt2-medium,56.0,no_competitor,6.0458546,4.152914,0.125,0.0001741250217656,-4.1323586,-13.688183,1.6614534,-0.7486040000000003,93.95124166,15,1.3633860000000002,1.3633860000000002,0.5833333333333334,4.138343177550682,21,230.003561,14,38.76688660000001,4.009579500000003,14,10.97176521645709,5.876963974204403,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
Hawaii,Honolulu,Hilo,gpt2-medium,57.0,no_competitor,4.922882,3.6722608,1.0,8.375910880308233e-05,-1.2835735,-15.89529,2.9692917999999997,-5.9606639999999995,84.58149030999999,15,9.409752599999996,8.258309,0.6666666666666666,7.037952942377165,17,244.58911022,14,84.10296908000001,110.39773659999996,15,53.99453498980102,0.0,15,capitals-recall,True,GPT-2,355,,,,,,,,,,
Idaho,Boise,Meridian,gpt2-medium,58.0,no_competitor,6.375717,4.0284204,1.0,0.0003330003330003,-2.3596835,-12.57471,3.0728989,1.375564000000001,98.30971473,0,1.1442394999999994,0.2230110000000014,0.5833333333333334,4.849559253913823,21,208.1647116,14,55.8368225,1.4711154999999998,14,21.590038070957544,0.0,14,capitals-recall,True,GPT-2,355,,,,,,,,,,
Massachusetts,Boston,Worcester,gpt2-medium,59.0,no_competitor,5.932246,3.4988148,1.0,0.0004237288135593,-2.1552026,-12.678065,2.7211384,4.7783809999999995,97.23366334,19,0.2367629999999998,0.0,0.0833333333333333,6.070298039429689,18,203.36731346,14,96.26192234,0.2367629999999998,12,7.86728705009956e-15,0.0,5,capitals-recall,True,GPT-2,355,,,,,,,,,,
Ohio,Columbus,Cleveland,gpt2-medium,60.0,no_competitor,5.752555,3.5016654,1.0,0.0005476451259583,-2.275412,-12.113788,1.0971985999999996,1.361122,100.1513868,0,0.0552903,0.0552903,0.9166666666666666,3.2089790646143848,22,207.1382041,14,19.7957668,0.0552903,22,7.1037993915938245,0.5710907245532812,8,capitals-recall,True,GPT-2,355,,,,,,,,,,
Rhode Island,Providence,Warwick,gpt2-medium,61.0,no_competitor,4.217492,3.6640708,1.0,0.0002832861189801,-0.8677075,-13.1681595,3.3281705000000006,5.2919845,94.5667305,0,0.2104140000000001,0.0,0.2083333333333333,6.353594102020551,18,226.0865334,14,97.69299860000002,0.3659190000000016,15,9.142011207511812,0.0,14,capitals-recall,True,GPT-2,355,,,,,,,,,,
Tennessee,Nashville,Memphis,gpt2-medium,62.0,no_competitor,4.8002267,3.9293585,0.3333333333333333,0.0005396654074473,-2.503199,-11.765613,-0.6439514,1.11449,97.9868383,0,0.4751492000000004,0.4751492000000004,1.0,2.8153282157608075,16,201.8450241,14,19.030800600000006,3.881207299999998,15,4.1813411814577684e-15,10.438636411238658,11,capitals-recall,False,GPT-2,355,,,,,,,,,,
Australia,Canberra,Sydney,gpt2-xl,1.0,has_competitor,4.650618,7.6393423,1.0,0.0068493150684931,-1.4009435,-7.228459,1.2767715000000002,-1.5528180000000005,278.42902311,30,2.5790353,2.5790353,0.625,19.207150485764664,28,293.731310332,28,40.631066567999994,28.339192299999997,28,61.73924481654799,43.945208949768855,28,capitals-recall,True,GPT-2,1500,,,,,,,,,,
Brazil,Brasilia,Rio de Janeiro,gpt2-xl,2.0,has_competitor,5.138569,7.4965105,1.0,0.0018621973929236,-2.1644757,-8.411689,1.0389863,-4.256114700000001,286.4069604,28,4.256114700000001,4.256114700000001,0.6875,10.116981576702589,33,300.53344931000004,28,16.508417490000003,54.59834350000001,27,71.714352158229,71.03968817710154,27,capitals-recall,True,GPT-2,1500,,,,,,,,,,
Canada,Ottawa,Toronto,gpt2-xl,3.0,has_competitor,5.0699606,7.484515,1.0,0.0072463768115942,-1.5568206,-7.1719418,2.1205936,0.4691121999999996,288.09828106,30,0.2057289999999998,0.0,0.1875,19.35575643696818,28,266.49590256,20,42.12906564,0.3818659999999987,29,49.936446775427264,29.445776099380033,29,capitals-recall,True,GPT-2,1500,,,,,,,,,,
India,New Delhi,Mumbai,gpt2-xl,4.0,has_competitor,5.393409,7.2576094,1.0,0.0023866348448687,-2.317322,-8.276028,0.8911581000000002,-2.0212115000000006,285.95160734,30,8.970131199999999,8.970131199999999,1.0,2.6802177810241945,46,372.8587618,44,5.181817099999996,121.19184507,44,61.384337426836176,143.64542726793766,41,capitals-recall,True,GPT-2,1500,,,,,,,,,,
Morrocco,Rabat,Marrakesh,gpt2-xl,5.0,has_competitor,5.1009016,7.3629785,0.0909090909090909,0.0555555555555555,-4.520395,-5.7022924,2.0649627000000006,2.2682909999999996,326.358609,25,4.027438000000001,1.756895,0.3958333333333333,3.9006386295979265,29,316.9795831,34,96.07757279999998,37.9814176,1,82.68761581105447,28.300659375155785,34,capitals-recall,True,GPT-2,1500,,,,,,,,,,
