task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,31,0.124,760,"[27.234375, 21.90625, 37.8125]","[4.29296875, 3.849609375, 14.0]",21695,[-17.203125],[-9.4375],-67.8,-111.4,correct,True,-203.5,-111.4,incorrect,False,-67.0,-111.4,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,32,0.2147,683,"[27.1875, 22.078125, 38.75]","[10.5078125, 7.609375, 9.15625]",22448,[-17.953125],[-12.6484375],-66.9,-108.8,correct,True,-200.6,-108.8,incorrect,False,-63.75,-108.8,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,33,0.2537,676,"[26.734375, 21.921875, 38.71875]","[15.0, 13.0, 10.8828125]",23304,[-18.921875],[-20.03125],-66.94,-108.25,correct,True,-200.8,-108.25,incorrect,False,-62.62,-108.25,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,34,0.148,650,"[27.171875, 22.171875, 38.75]","[14.6328125, 11.1015625, 20.015625]",23596,[-20.640625],[25.140625],-69.0,-112.5,correct,True,-207.0,-112.5,incorrect,False,-64.75,-112.5,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,35,0.1812,508,"[27.875, 22.890625, 39.9375]","[14.1328125, 6.3984375, 11.3671875]",12696,[-7.9921875],[-0.287841796875],-64.8,-90.7,correct,True,-194.4,-90.7,incorrect,False,-55.03,-90.7,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,36,0.222,442,"[28.40625, 22.765625, 39.9375]","[-2.158203125, 8.4296875, 27.890625]",11549,[-7.3671875],[-18.71875],-63.22,-88.75,correct,True,-189.6,-88.75,incorrect,False,-53.12,-88.75,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,37,0.6675,499,"[25.140625, 22.734375, 41.40625]","[9.2265625, 6.94921875, 12.0703125]",13522,[-10.6484375],[-16.625],-63.6,-87.2,correct,True,-190.8,-87.2,incorrect,False,-51.6,-87.2,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,38,0.6157,447,"[23.953125, 21.671875, 39.59375]","[-17.390625, -8.09375, -22.234375]",15193,[-12.9609375],[-13.359375],-63.75,-85.5,correct,True,-191.2,-85.5,incorrect,False,-48.66,-85.5,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,39,0.847,443,"[17.40625, 20.796875, 37.875]","[-0.9208984375, -9.5703125, -18.203125]",14456,[-15.4921875],[-9.765625],-59.9,-76.56,correct,True,-179.8,-76.56,incorrect,False,-43.72,-76.56,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,40,0.6763,397,"[13.296875, 17.09375, 29.109375]","[-12.8828125, 9.1015625, -0.90576171875]",13245,[-15.3359375],[-10.71875],-51.56,-64.75,correct,True,-154.8,-64.75,incorrect,False,-36.16,-64.75,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,41,0.508,349,"[9.8671875, 18.75, 26.203125]","[0.578125, 9.328125, -2.0859375]",13445,[-15.8984375],[18.84375],-37.6,-56.97,correct,True,-112.8,-56.97,incorrect,False,-31.17,-56.97,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,42,0.756,213,"[8.9140625, 20.09375, 24.171875]","[-26.0, 7.29296875, 11.9921875]",5200,[-9.1484375],[-1.5693359375],-29.34,-42.22,correct,True,-88.06,-42.22,incorrect,False,-24.19,-42.22,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,43,1.523,199,"[3.05859375, 20.984375, 25.4375]","[-15.3203125, 13.0546875, -21.265625]",3269,[-8.5390625],[-8.46875],-21.48,-30.05,correct,True,-64.44,-30.05,incorrect,False,-18.53,-30.05,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,44,1.241,260,"[0.158203125, 23.890625, 19.28125]","[-24.484375, 15.8046875, 11.0546875]",3089,[-9.46875],[2.306640625],-10.87,-29.06,correct,True,-32.6,-29.06,incorrect,False,-19.45,-29.06,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,45,1.777,337,"[-7.421875, 27.296875, 19.859375]","[-3.189453125, -3.58203125, 6.0390625]",337,[-7.31640625],[9.171875],-3.781,-11.17,correct,True,-11.34,-11.17,incorrect,False,-11.234,-11.17,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,46,2.81,231,"[-6.9765625, 20.984375, 18.296875]","[0.21142578125, 7.83203125, 29.75]",28,[-3.904296875],[1.1025390625],-3.031,-6.066,correct,True,-9.09,-6.066,incorrect,False,-9.06,-6.066,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,47,4.94,31,"[-4.859375, 19.15625, 37.28125]",,6,[-2.17578125],,-1.912,-3.24,correct,True,-5.734,-3.24,incorrect,False,-5.734,-3.24,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,0,0.0,47059,"[-63.9375, 22.9375]","[19.875, -7.46875]",30037,"[-28.578125, 14.6953125, -72.625]","[0.701171875, 49.9375, -5.76171875]",-161.6,-170.0,correct,True,-323.2,-510.0,correct,True,-214.2,-179.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,1,0.0,47115,"[-58.53125, 21.5625]","[-14.5, 0.2320556640625]",31898,"[-27.90625, 21.34375, -67.5625]","[-3.5859375, 17.046875, -17.3125]",-148.5,-153.8,correct,True,-297.0,-461.5,correct,True,-195.6,-165.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,2,0.0,47391,"[-56.84375, 21.484375]","[-55.0625, -4.13671875]",31821,"[-26.25, 22.546875, -62.84375]","[-28.578125, 24.90625, -15.8125]",-139.2,-140.4,correct,True,-278.5,-421.2,correct,True,-179.8,-149.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,3,0.0001228,47700,"[-62.84375, 17.828125]","[-18.546875, 19.359375]",32609,"[-29.75, 27.3125, -58.5]","[-14.2109375, -12.1015625, -19.75]",-133.8,-130.5,incorrect,False,-267.5,-391.5,correct,True,-181.4,-148.4,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,4,0.001881,47706,"[-61.03125, 20.546875]","[-27.140625, -21.796875]",33595,"[-29.796875, 25.1875, -58.71875]","[-19.609375, 5.46484375, -13.359375]",-129.2,-126.3,incorrect,False,-258.5,-379.0,correct,True,-174.6,-143.2,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,5,0.10535,47461,"[-60.21875, 17.34375]","[-44.6875, 2.20703125]",33433,"[-30.25, 25.328125, -58.6875]","[-29.90625, 38.65625, -7.8984375]",-124.6,-123.06,incorrect,False,-249.2,-369.2,correct,True,-170.1,-140.2,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,6,0.67,47414,"[-61.5625, 17.234375]","[-51.15625, 5.78125]",33921,"[-32.0, 30.859375, -55.46875]","[-23.203125, 14.015625, -5.94140625]",-122.75,-116.7,incorrect,False,-245.5,-350.0,correct,True,-169.6,-140.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,7,0.1373,47619,"[-62.9375, 17.515625]","[-25.71875, 14.109375]",34329,"[-32.28125, 29.40625, -53.34375]","[-21.171875, 25.28125, 3.12109375]",-120.0,-107.6,incorrect,False,-240.0,-322.8,correct,True,-172.1,-141.4,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,8,0.0745,47645,"[-62.96875, 18.65625]","[-18.859375, -9.4453125]",34882,"[-32.9375, 31.015625, -48.65625]","[-14.4296875, 7.70703125, 17.328125]",-118.44,-102.25,incorrect,False,-236.9,-306.8,correct,True,-171.2,-141.1,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,9,0.0525,47745,"[-63.03125, 17.15625]","[-29.6875, -10.9609375]",35453,"[-33.28125, 31.21875, -38.9375]","[-14.5859375, 23.90625, 29.96875]",-116.25,-95.44,incorrect,False,-232.5,-286.2,correct,True,-170.8,-141.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,10,0.08826,47780,"[-62.78125, 13.5234375]","[-10.140625, -7.14453125]",35492,"[-33.0625, 33.1875, -15.8828125]","[-11.625, 25.8125, -1.9658203125]",-109.4,-78.5,incorrect,False,-218.8,-235.5,correct,True,-169.5,-139.9,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,11,0.04263,47820,"[-61.125, 11.3125]","[-10.5703125, -0.31005859375]",36589,"[-33.40625, 36.0625, -15.7109375]","[-2.4296875, 27.0, -14.5078125]",-106.9,-74.9,incorrect,False,-213.8,-224.6,correct,True,-164.9,-137.2,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,12,0.00683,47689,"[-59.9375, 10.578125]","[-7.38671875, -9.3671875]",35935,"[-32.25, 39.25, -18.453125]","[-10.7265625, 5.74609375, 7.33203125]",-110.0,-78.2,incorrect,False,-220.0,-234.5,correct,True,-164.8,-137.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,13,0.01698,47142,"[-52.625, 8.546875]","[-15.03125, 2.0234375]",36823,"[-30.703125, 38.34375, -16.578125]","[-15.9921875, 14.78125, 12.9921875]",-105.56,-74.6,incorrect,False,-211.1,-223.9,correct,True,-148.0,-126.0,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,14,0.002287,47332,"[-53.90625, 8.3671875]","[-14.09375, -2.212890625]",38202,"[-32.6875, 38.65625, -12.96875]","[-12.5, 31.71875, -30.03125]",-107.06,-73.7,incorrect,False,-214.1,-221.1,correct,True,-150.5,-129.4,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,15,0.001389,47045,"[-53.03125, 7.44921875]","[-24.96875, -3.5859375]",38114,"[-32.96875, 41.28125, -17.6875]","[-7.01171875, 36.40625, 3.474609375]",-110.6,-77.44,incorrect,False,-221.2,-232.4,correct,True,-152.8,-132.8,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,16,0.004112,47318,"[-53.78125, 6.39453125]","[-22.1875, -9.6875]",37058,"[-31.40625, 44.75, -15.6953125]","[-9.421875, 41.40625, -20.453125]",-113.7,-76.25,incorrect,False,-227.4,-228.6,correct,True,-152.1,-129.8,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,17,0.003471,47396,"[-56.46875, 4.5234375]","[-20.609375, -0.229248046875]",36619,"[-32.4375, 48.4375, -18.28125]","[-14.015625, 53.6875, -16.484375]",-121.4,-82.25,incorrect,False,-242.8,-246.8,correct,True,-158.2,-134.4,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,18,0.01068,47090,"[-55.8125, 4.12890625]","[-13.8671875, 12.0078125]",36046,"[-32.46875, 54.09375, -20.078125]","[-8.703125, 24.1875, 13.4375]",-121.75,-82.3,incorrect,False,-243.5,-246.9,correct,True,-157.8,-134.4,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,19,0.01965,46898,"[-54.84375, 5.41796875]","[-23.765625, 13.4921875]",35871,"[-32.03125, 54.78125, -17.90625]","[-15.7734375, 25.21875, -26.234375]",-120.0,-80.9,incorrect,False,-240.0,-242.8,correct,True,-156.6,-133.9,incorrect,False
