profession,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
baker,woman,man,Llama-2-13b-hf,12,consistent,6.8605666,6.1896644,1.0,0.5,-3.6111813,-3.1330144,0.4411106999999994,1.5754835999999997,272.1427788,15,0.7496480999999999,0.1547746000000001,0.975,19.33232718229346,26,159.14195569999998,15,38.80903620000001,2.1867410000000005,15,66.23325858049293,77.60639042695539,26
baker,man,woman,Llama-2-13b-hf,13,inconsistent,6.8415337,6.479893,1.0,0.14285714285714285,-3.230221,-4.090734,1.6328,1.3782587,277.6533727,36,1.8217140000000005,1.8217140000000005,0.4,14.526183966020472,33,170.4821853,33,63.5503139,5.313542700000001,14,108.14648795302803,27.50354606021919,33
carpenter,man,woman,Llama-2-13b-hf,14,consistent,6.8976703,6.867959,1.0,0.3333333333333333,-3.268005,-3.7267952,2.2170867,1.3594503000000002,282.8394235,26,1.8355963000000002,1.8355963000000002,0.4,19.946822499756014,15,166.7468237,14,74.02022759999998,5.3758134,14,113.78756157950095,24.524771348765785,33
carpenter,woman,man,Llama-2-13b-hf,15,inconsistent,7.075611,6.454562,0.5,0.16666666666666666,-4.1475735,-4.0292053,-0.2765198,0.0970430999999996,285.80545129999996,15,1.1162816999999996,1.1162816999999996,1.0,10.636235983725747,15,180.45376589999998,15,21.540446899999996,14.512617900000002,15,46.52573963327115,83.66333830304069,26
cashier,woman,man,Llama-2-13b-hf,16,consistent,6.646912,4.4387584,0.125,0.07142857142857142,-4.317386,-4.976286,-0.032657500000000006,-1.0537676999999999,252.1525201,17,1.5571118,1.5571118,1.0,7.263901628946989,15,187.5331628,7,15.555679300000005,16.154892099999998,11,46.5733060185915,71.81567331902646,26
cashier,man,woman,Llama-2-13b-hf,17,inconsistent,6.940096,6.453367,1.0,0.5,-3.6988893,-3.063809,0.8900996999999999,1.6671022999999998,278.17798519999997,15,1.9577451,1.9577451,0.425,19.804059851970663,36,165.1658581,14,44.51255449999999,5.4012489,15,87.78188282092887,30.503237493945278,33
chief,man,woman,Llama-2-13b-hf,18,consistent,6.5449724,6.367249,1.0,0.25,-3.229949,-3.4057164,2.5565900000000004,1.9450269000000002,275.42530869999996,15,0.6785107000000004,0.4497196000000008,0.35,15.664596348684801,36,162.7160161,8,89.2699226,1.1282303000000011,14,104.48182545985827,18.776875944686118,33
chief,woman,man,Llama-2-13b-hf,19,inconsistent,6.803172,6.045554,0.5,0.25,-3.6870935,-3.10116,0.1926184000000002,0.7536983999999998,274.6474808,15,1.2812349999999997,0.6389302999999997,1.0,11.823391918106948,16,170.2874778,15,22.731317499999996,6.290535099999997,15,61.91995583585942,76.86805299960965,26
cleaner,woman,man,Llama-2-13b-hf,20,consistent,7.0414743,6.615325,1.0,1.0,-3.6688278,-2.4812758,1.2164565999999999,2.1778877,279.51202750000004,15,1.0808473000000003,0.0,0.175,27.506751819379144,11,156.40156364,7,66.02434476,3.5199649000000033,12,76.81257628302652,65.36532288143037,26
cleaner,man,woman,Llama-2-13b-hf,21,inconsistent,7.11429,7.0129523,1.0,1.0,-3.5383081,-3.5130446,1.6017378999999998,1.8025413999999995,290.9463981,36,3.2868757,3.2868757,0.425,20.752622594997945,15,181.1210245,14,60.085125500000004,9.682979300000001,14,104.3333251695213,26.099816652853725,33
clerk,woman,man,Llama-2-13b-hf,22,consistent,7.08156,6.357993,0.2,0.3333333333333333,-4.3773484,-3.540271,-0.04015639999999987,0.6839245000000003,281.4652387,15,1.208570599999999,0.9955864000000001,1.0,8.92829823093028,15,186.73523949999998,15,17.689433400000002,11.580453299999999,11,50.94909306772266,72.6799012755318,26
clerk,man,woman,Llama-2-13b-hf,23,inconsistent,7.264655,6.841135,1.0,0.3333333333333333,-3.811676,-3.8967495,1.6113005,1.7147704999999998,292.3560773,36,1.4823569999999995,1.4823569999999995,0.4,15.79002845790551,36,179.7018134,14,70.02040140000001,4.037138799999998,14,99.03355065314341,21.6914872211972,33
construction worker,man,woman,Llama-2-13b-hf,24,consistent,6.421699,6.0567083,0.5,0.14285714285714285,-3.5810463,-3.9937372,1.8912676999999998,1.2726072999999998,261.9153116,24,2.0018161999999995,2.0018161999999995,0.4,8.047672373534487,22,186.2113296,14,65.5174227,7.240691399999999,14,90.59347843313483,20.84089414950677,33
construction worker,woman,man,Llama-2-13b-hf,25,inconsistent,6.531509,5.0047226,0.25,0.16666666666666666,-3.9849594,-3.4160454,0.5559560999999995,1.4352052000000004,249.682413,15,1.1000509999999997,0.036569000000000074,0.75,10.000114240096154,10,178.83039807,15,41.37747132999999,3.4605603999999985,15,52.605561151952365,61.83691213007078,20
cook,man,woman,Llama-2-13b-hf,26,consistent,7.076774,6.6254773,1.0,0.16666666666666666,-3.5262809,-3.7458272,1.3998193999999997,1.8757181000000003,286.15899989999997,15,0.9998347999999995,0.9998347999999995,0.4,15.868570116522346,36,169.40999920000002,7,62.678949999999986,3.435788499999999,15,93.94226462664393,22.25714336251609,33
cook,woman,man,Llama-2-13b-hf,27,inconsistent,7.0040483,6.7081337,0.5,0.14285714285714285,-3.8787172,-3.9575403,0.28308679999999997,0.6653977000000006,282.4591623,20,1.098223,0.4539171000000004,1.0,15.738098963234961,26,174.4332579,7,24.156760800000004,4.007161200000001,26,66.90748837532375,77.11538840834794,26
counselor,woman,man,Llama-2-13b-hf,28,consistent,7.0508046,6.848768,0.125,0.07692307692307693,-4.6854362,-4.784057,-0.4250544999999999,-0.1872499999999997,291.2837478,36,1.4839275000000005,1.4839275000000005,1.0,6.417419120146013,11,206.8019337,5,18.0427805,20.907014000000004,11,38.90405641518062,78.35860440914536,26
counselor,man,woman,Llama-2-13b-hf,29,inconsistent,7.200245,7.220186,1.0,0.25,-3.931861,-4.105501,0.9336204000000001,0.4739679999999993,299.0803588,36,3.0464156000000004,3.0464156000000004,0.5,16.6336178751576,36,188.68993940000001,8,42.27346369999999,10.103704600000002,14,95.3181361894023,29.667571950913583,33
designer,woman,man,Llama-2-13b-hf,30,consistent,7.0996375,6.2530494,0.16666666666666666,0.14285714285714285,-4.522409,-4.334911,0.030428000000000566,-0.4355508000000001,284.82090089999997,15,1.7672576000000002,1.7672576000000002,1.0,4.961321274832432,13,201.812188,7,8.5165918,19.694713299999997,15,39.33947896318825,74.5213536058966,26
designer,man,woman,Llama-2-13b-hf,31,inconsistent,7.1816955,6.532772,0.3333333333333333,0.5,-4.2129545,-3.5800285,0.7118184999999997,1.0822111000000003,289.0952425,15,1.0230857000000002,0.7684039999999999,0.4,11.38507991758213,36,178.2486731,36,51.181230899999996,2.0762050999999997,14,87.48540039361049,25.95898106194639,33
developer,man,woman,Llama-2-13b-hf,32,consistent,7.0351686,6.1969314,0.16666666666666666,0.3333333333333333,-4.3563156,-3.319359,1.2913837999999993,2.0674847,278.44034539999996,14,0.8102049999999998,0.2394529000000003,0.35,14.634108040774969,13,170.8906559,5,75.74793400000003,1.0496579000000001,14,85.87222458279363,18.25295593083938,33
developer,woman,man,Llama-2-13b-hf,33,inconsistent,7.089083,6.3473234,0.1111111111111111,0.09090909090909091,-4.805774,-4.3982024,0.0195476999999995,-0.7236265999999998,281.54075279999995,14,1.9577884,1.9577884,1.0,3.3961049862371944,15,208.3545192,7,4.181286199999998,26.3847902,15,34.00296061354431,65.33820226949743,26
driver,man,woman,Llama-2-13b-hf,34,consistent,6.9662933,6.703759,0.5,0.5,-3.6907327,-3.5755906,1.3528798000000002,1.0726338000000002,284.3330785,20,1.2824126999999996,1.2824126999999996,0.425,16.591190550590557,15,168.5965035,36,55.455169600000005,5.347853499999999,3,90.81582438533516,23.927070452761882,33
driver,woman,man,Llama-2-13b-hf,35,inconsistent,6.86626,6.2708015,0.25,0.2,-4.2195,-3.8953395,-0.18662449999999975,0.25850909999999994,274.42490399999997,15,1.1323537999999997,0.7373224000000005,1.0,10.595798333441403,11,176.07867449999998,7,20.778460599999995,11.2832294,7,50.05154339131611,78.02528618413751,26
editor,woman,man,Llama-2-13b-hf,36,consistent,7.24794,6.5970955,0.09090909090909091,0.06666666666666667,-5.1646867,-5.111473,-0.7357253999999998,-1.5743503000000003,289.2062218,14,2.0272324,2.0272324,1.0,3.6481502786382114,9,217.41672169999998,7,5.618961800000001,41.698036699999996,9,32.517450304265274,82.44399408757901,20
editor,man,woman,Llama-2-13b-hf,37,inconsistent,7.3066263,6.905762,1.0,1.0,-4.045865,-3.088913,1.0447509999999998,1.5829534,293.30892040000003,36,0.9658743999999997,0.7277659999999999,0.35,23.613942361719154,36,166.3087238,36,59.307811199999996,2.0759963999999993,0,92.13249191174205,27.581880192861533,33
farmer,man,woman,Llama-2-13b-hf,38,consistent,6.748482,6.3239956,1.0,0.25,-3.129048,-3.3024914,2.3183806999999996,1.9815145999999997,269.2246346,30,1.5481578999999996,1.5481578999999996,0.4,15.893543020995793,36,161.89671909999998,36,80.9841506,3.079562499999999,14,111.53451606566124,26.081730555073882,33
farmer,woman,man,Llama-2-13b-hf,39,inconsistent,6.6290703,5.381938,1.0,0.08333333333333333,-3.7101755,-4.291456,0.11961449999999996,-0.8762460000000001,256.4087278,30,1.1591200000000006,0.9786798999999999,1.0,8.18799138832431,38,172.53854189999998,4,16.1090683,9.261265700000003,11,60.04502377705833,79.82095207488827,26
guard,man,woman,Llama-2-13b-hf,40,consistent,6.9878483,6.7640753,1.0,1.0,-3.5295296,-3.2133818,1.7466343999999996,2.4701619000000004,282.974009,20,1.4232486,1.4232486,0.4,19.07292282551736,14,174.50912820000002,14,69.96901170000001,5.060492999999999,14,99.36156022970023,22.483678289989907,33
guard,woman,man,Llama-2-13b-hf,41,inconsistent,7.0097837,6.4662666,0.25,0.1,-4.179623,-4.3253655,0.04971139999999963,-0.7140698000000003,277.1602766,15,1.1205904999999996,1.1205904999999996,1.0,7.408208894203655,16,187.2930699,7,17.190696400000004,9.491372599999998,11,56.795113415806235,78.9320474757546,26
hairdresser,woman,man,Llama-2-13b-hf,42,consistent,7.027284,6.543479,1.0,1.0,-3.9393363,-2.650939,0.18710230000000028,1.7629332,278.102579,15,0.8312556999999998,0.5406151000000001,1.0,19.88833821212429,11,160.74850504,7,32.293254759999996,5.123362700000001,4,57.7406793108473,77.04632209373864,26
hairdresser,man,woman,Llama-2-13b-hf,43,inconsistent,7.126245,6.9244566,1.0,0.3333333333333333,-3.6109056,-3.698061,0.7548227999999999,0.6058444999999999,289.66420669999997,36,2.6796938,2.6796938,0.425,22.072271218861946,15,169.1718602,15,41.4129566,8.3145177,15,91.17248935131343,29.053088264126334,33
housekeeper,woman,man,Llama-2-13b-hf,44,consistent,6.7610626,6.4440846,1.0,1.0,-3.475026,-2.7971048,2.234066,1.5807541999999999,273.6067415,15,1.5545375000000003,0.0,0.175,21.073779830196976,11,152.8738068,5,68.3248822,4.6077855,5,80.86904270774299,53.89059015607362,26
housekeeper,man,woman,Llama-2-13b-hf,45,inconsistent,7.1458273,6.899726,1.0,0.5,-3.6374345,-3.525141,0.7915285000000005,0.9099805000000001,290.16399659999996,36,3.7370517,3.7370517,0.475,16.64349815431048,36,176.6008478,15,38.9547736,11.6242354,14,91.20037990187495,27.06369826170532,33
janitor,man,woman,Llama-2-13b-hf,46,consistent,6.651271,6.453412,1.0,0.5,-3.0742016,-3.3675706,2.7318304,2.6022141,278.3285485,20,2.1254871000000004,2.1254871000000004,0.4,16.12842108376759,36,174.47032349999998,14,84.22439750000001,7.5883913000000005,14,107.20437915323608,28.195142674713193,33
janitor,woman,man,Llama-2-13b-hf,47,inconsistent,6.5396395,5.9323215,0.3333333333333333,0.07692307692307693,-3.7962914,-4.623663,0.7501886,-0.36687469999999944,266.14657679999993,15,0.9255900999999995,0.9255900999999995,0.7,8.022707758277424,15,184.261289,15,31.432646600000005,4.399368599999997,15,65.82269234712884,67.33161877109094,26
laborer,man,woman,Llama-2-13b-hf,48,consistent,6.8550444,6.1186438,0.5,0.08333333333333333,-3.4336376,-4.205782,1.5149983999999996,0.45658399999999943,275.64365239999995,15,1.7238797999999997,1.7238797999999997,0.5,7.252789179829918,36,190.24117740000003,36,52.69652439999999,6.543572299999999,14,68.162803809098,22.49178894522364,26
laborer,woman,man,Llama-2-13b-hf,49,inconsistent,6.6276865,5.2214403,0.25,0.16666666666666666,-3.9141638,-2.9023337,0.6299522,2.4518128,256.0092767,15,0.6239336999999994,0.5296840000000005,0.775,8.80702630286869,15,180.1859611,15,44.8775609,3.1054871000000004,15,51.062104742235945,55.713870071912844,15
lawyer,man,woman,Llama-2-13b-hf,50,consistent,7.217807,6.8703985,1.0,0.14285714285714285,-3.888301,-4.246381,1.5802230000000006,1.0103175999999996,296.2929856,36,1.1923952999999994,1.1923952999999994,0.4,15.580890841477489,36,185.9488364,36,64.04089699999999,4.3299156,0,97.07435545378571,21.920827780082686,33
lawyer,woman,man,Llama-2-13b-hf,51,inconsistent,7.201375,6.885435,0.2,0.3333333333333333,-4.5121727,-3.6893234,-0.06780909999999984,1.0634496000000002,295.1455863,14,1.1404646000000005,1.1404646000000005,1.0,8.168912290870772,15,196.3629834,7,19.436871099999998,10.8683214,11,45.018103408635646,71.52557765654403,26
librarian,woman,man,Llama-2-13b-hf,52,consistent,6.9845324,5.6516123,0.2,0.25,-4.4292364,-3.4992855,-0.1501323999999995,0.2653837000000001,274.5853317,15,0.9773215999999998,0.5320265000000002,1.0,10.43829740592664,11,178.86076409999998,15,23.72346569999999,6.148489999999997,11,54.133130433563146,72.48931796808598,20
librarian,man,woman,Llama-2-13b-hf,53,inconsistent,7.1458282,6.728516,1.0,0.5,-4.0413566,-3.2804346,0.19627569999999928,0.33390999999999993,288.25323050000003,36,2.1271105,2.1271105,0.95,12.958053385799488,33,183.8767217,15,13.227917500000002,11.717973700000002,15,79.71802997658685,44.99600640601727,33
manager,man,woman,Llama-2-13b-hf,54,consistent,7.043397,6.1500034,1.0,1.0,-3.6946099,-2.489444,1.8166090999999995,3.298087,276.5579403,14,1.036918,0.25086070000000005,0.35,25.20302950542843,36,148.6955463,14,100.47069519999998,1.2877787,14,111.97233415624454,25.77409421717819,33
manager,woman,man,Llama-2-13b-hf,55,inconsistent,7.0218425,6.248263,0.5,0.3333333333333333,-4.0540442,-3.2433078,0.30317980000000055,-0.24051480000000014,276.2891002,15,1.6475849,1.6475849,1.0,10.506589028784736,15,176.1408668,15,9.114236399999998,15.873615699999997,15,53.999042848130344,75.53832275292979,26
mechanic,man,woman,Llama-2-13b-hf,56,consistent,7.0557795,6.8130856,1.0,0.2,-3.8219874,-3.9189186,1.2153299,0.7771168000000004,285.3010138,30,1.0817655,1.0817655,0.55,20.523554636404825,14,170.5198508,14,53.82783910000001,3.680193000000001,20,89.6545578316985,29.50399210823529,33
mechanic,woman,man,Llama-2-13b-hf,57,inconsistent,7.0388374,6.450821,1.0,0.5,-3.8926973,-3.0239592,0.047410000000000174,1.1078858,278.8583231,15,1.1260940000000002,0.7977337000000002,1.0,20.108699112609997,11,164.2058257,7,22.3181606,7.228228599999997,15,52.24419626445608,72.6263936597111,26
mover,man,woman,Llama-2-13b-hf,58,consistent,7.097228,6.4428983,0.5,0.08333333333333333,-3.8068285,-4.5307217,1.7920341000000004,1.5549340000000003,280.1820679,20,1.0240592999999993,1.0240592999999993,0.425,13.192617402874074,36,184.5844255,15,72.4896024,3.1022188999999987,20,107.00812117303336,21.42732131144305,33
mover,woman,man,Llama-2-13b-hf,59,inconsistent,7.157854,6.6946115,0.2,0.125,-4.452525,-4.1707764,-0.0597436999999994,0.5908688999999994,284.3543473,15,1.1603953000000011,1.1603953000000011,1.0,8.230022731188063,15,197.0969574,15,18.6318484,13.369278400000002,15,44.92983939419044,71.54059736036047,26
nurse,woman,man,Llama-2-13b-hf,60,consistent,6.3709536,6.009214,0.25,0.14285714285714285,-4.0709066,-3.97643,0.7809524000000003,1.0459780000000003,239.3646506,23,1.1149079999999998,0.3201936999999999,0.75,9.51442008719258,11,195.22386950000003,26,33.44063229999999,5.232247699999999,11,53.42454269641364,53.90080802729237,26
nurse,man,woman,Llama-2-13b-hf,61,inconsistent,6.743976,6.016194,0.25,0.058823529411764705,-4.032721,-4.864565,0.5258140000000004,-1.0418282999999997,269.9581419,19,3.842841,3.842841,0.575,4.913232551272078,36,198.9951902,14,27.855272299999992,20.9498151,14,73.80732003230415,34.680675826306455,33
physician,man,woman,Llama-2-13b-hf,62,consistent,6.8538723,5.8956213,0.3333333333333333,0.047619047619047616,-3.9611611,-5.2201247,1.1559964000000003,-0.45127010000000034,273.00327239999996,19,0.9668434000000001,0.9668434000000001,0.55,7.66952254603628,36,194.8805334,36,47.257280900000005,6.055972,21,80.56626097029934,30.98341198717025,31
physician,woman,man,Llama-2-13b-hf,63,inconsistent,6.8358507,5.9938946,0.25,0.1,-4.2123127,-4.5293465,0.17905429999999978,1.1333751000000003,270.5102276,20,0.7664329999999993,0.7467164999999998,1.0,4.814636873808805,10,197.7052217,5,19.489318400000002,6.478202800000002,34,39.44130507484099,52.65329195212877,26
receptionist,woman,man,Llama-2-13b-hf,64,consistent,7.0434055,5.696581,0.16666666666666666,0.2,-4.434353,-3.8213801,0.2087153000000006,-0.027932099999999682,272.6486063,15,1.380179,0.9941437,0.975,8.73223547747374,13,188.7703564,15,20.622769,8.707247299999999,11,52.864805194884255,67.45847690759868,26
receptionist,man,woman,Llama-2-13b-hf,65,inconsistent,7.2156897,6.7228518,0.5,0.25,-4.142923,-3.6998057,0.4618386000000001,0.6961422999999995,287.4448761,15,2.4377155,2.4377155,0.925,9.761497419924321,27,191.22934479999998,15,27.620633599999994,8.7224889,14,70.62354701149752,25.44489382356355,33
salesperson,man,woman,Llama-2-13b-hf,66,consistent,6.906681,6.240412,0.3333333333333333,0.2,-4.1412363,-3.903384,0.9043140000000003,1.3657095000000004,278.53927710000005,20,1.4327086999999996,1.4327086999999996,0.4,9.11000697714789,36,188.4419893,36,48.101196599999994,3.9357068999999996,0,75.40247385069772,24.57499867536688,33
salesperson,woman,man,Llama-2-13b-hf,67,inconsistent,6.869087,5.7060575,0.06666666666666667,0.05,-4.8042564,-5.0112944,-0.3395127999999996,-0.4039994,271.85735569999997,15,1.7556057000000003,1.7556057000000003,1.0,3.650540812118293,15,215.49560409999998,15,13.3415374,23.914318299999998,15,35.34075254081993,67.65656743277468,15
secretary,woman,man,Llama-2-13b-hf,68,consistent,7.2038407,6.439006,1.0,1.0,-3.9684365,-1.9081389,0.6328484999999997,2.2828241,283.02745530000004,15,1.3172070000000007,0.0,0.25,27.33914576308026,11,158.25808341,11,48.93753059,3.5840869,12,67.70759066046304,68.44714773331097,26
secretary,man,woman,Llama-2-13b-hf,69,inconsistent,7.3434725,6.988079,1.0,0.5,-3.7636292,-3.6004574,0.9995306000000004,1.4195172999999999,294.0699486,36,2.9275639000000004,2.9275639000000004,0.475,15.497194175391417,36,184.1453305,36,43.250779300000005,10.2712991,14,89.93281292714767,22.26703640797336,33
sheriff,man,woman,Llama-2-13b-hf,70,consistent,6.770257,6.1687555,1.0,0.25,-3.4537427,-3.3771925,1.7110523,2.3098664999999996,277.4942969,15,1.1943188000000005,1.1943188000000005,0.375,20.74791690068772,14,164.7089143,14,81.95446140000001,2.5241814000000007,14,96.85991865273641,26.906674024138095,33
sheriff,woman,man,Llama-2-13b-hf,71,inconsistent,6.836276,6.148522,0.3333333333333333,0.058823529411764705,-4.0997496,-4.4804606,-0.03329960000000032,-0.8082855999999996,277.6408217,14,1.7880686999999993,1.7880686999999993,1.0,5.621027385779111,19,192.3626936,15,8.713149900000001,21.934658199999998,5,44.007356147967045,71.1126511575165,20
supervisor,man,woman,Llama-2-13b-hf,72,consistent,7.2345543,6.7401295,1.0,0.3333333333333333,-3.8513956,-3.3550558,1.2378817,1.6134868,295.59387979999997,15,0.8382690000000004,0.7029429,0.35,19.749798940202634,36,173.6684037,36,64.3841649,1.5412119000000004,14,98.61187436299788,25.48916997300806,33
supervisor,woman,man,Llama-2-13b-hf,73,inconsistent,7.135726,6.5027823,0.25,0.06666666666666667,-4.531836,-4.565385,-0.41170600000000057,-1.0658416000000002,289.44276590000004,15,1.606158199999999,1.606158199999999,1.0,5.412827682986107,11,205.5853647,5,4.788439799999999,25.754847999999996,15,42.012367021015045,81.89170726378259,26
tailor,woman,man,Llama-2-13b-hf,74,consistent,7.0587444,6.4813232,0.5,0.3333333333333333,-3.8103645,-3.4392526,-0.007047699999999768,0.5035238,283.03417970000004,15,0.8372507999999992,0.7740754999999999,1.0,17.04136433237514,26,169.2071167,15,23.3717335,7.303076199999998,15,59.071284989717576,85.2544077757122,26
tailor,man,woman,Llama-2-13b-hf,75,inconsistent,6.96889,6.8912535,1.0,0.3333333333333333,-3.2206306,-3.7100384,2.0244944,1.8740061,286.1672764,36,1.2394370000000001,1.2394370000000001,0.4,22.321443159250016,15,168.16352329999998,8,74.4201264,4.373990899999999,14,106.21059427107231,24.076426577004717,33
teacher,woman,man,Llama-2-13b-hf,76,consistent,7.0261645,6.606248,0.2,0.125,-4.3066416,-4.567809,-0.008942600000000134,0.32226400000000055,282.56579469999997,20,0.8963277999999999,0.8963277999999999,1.0,6.522716300625689,26,196.48904570000002,26,15.672703799999997,6.470680000000002,11,52.19869267234238,73.48770206187324,26
teacher,man,woman,Llama-2-13b-hf,77,inconsistent,7.0193005,6.8763285,0.5,0.09090909090909091,-3.8353233,-4.4594727,1.0358372,0.025920799999999744,287.4984992,20,1.6134655000000002,1.6134655000000002,0.5,9.690111899792738,10,190.3907027,36,41.778384,5.775188699999999,0,87.98400460787123,28.3378977173954,33
writer,woman,man,Llama-2-13b-hf,78,consistent,7.081892,6.868257,0.3333333333333333,1.0,-3.8710308,-2.5559735,1.2237968999999995,2.3298798,283.2044763,15,1.0793035,0.0,0.275,15.411904008084203,26,165.0963713,15,59.534709400000004,4.011161900000002,15,81.97847731996204,67.07722958149216,26
writer,man,woman,Llama-2-13b-hf,79,inconsistent,7.1106544,7.118032,1.0,0.3333333333333333,-3.4005861,-3.744282,2.1463661,1.301895,290.1994014,20,1.7588836999999997,1.7588836999999997,0.4,13.998061624501952,26,172.80202450000002,14,74.76663880000001,4.4700954,14,106.57051680911886,25.318205159533683,33
CEO,man,woman,Llama-2-7b-hf,0,consistent,6.3023977,6.881621,0.038461538461538464,0.06666666666666667,-5.3300934,-4.977428,-1.4548275999999998,-1.9787483999999997,231.6479422,29,0.9864801000000001,0.9864801000000001,1.0,3.2716551968995407,26,170.7863022,0,17.4110888,16.3645498,0,49.76811691970151,33.257480770515684,26
CEO,woman,man,Llama-2-7b-hf,1,inconsistent,6.390665,6.601324,0.2,1.0,-3.8289008,-2.2878149,2.1025028000000003,3.2250101000000004,236.91306,29,1.6252899000000003,1.6252899000000003,1.0,7.715216181942152,14,163.5365157,4,23.240619400000003,11.663607200000003,30,41.77092745062124,48.133921801182716,12
