condition,exemplar,correct,incorrect,model,item_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting,exemplar_de
Atypical,eel,fish,reptile,Falcon3-1B-Base,1,2.7093284,6.032157,1.0,5.392289026691831e-05,-0.5671693,-14.212308,4.6212653,-3.28815,78.16203398,11,5.3422979999999995,5.3422979999999995,0.7777777777777778,3.353721275321028,14,164.72984071999997,12,29.315455080000003,26.3028895,14,51.10072663907163,29.05629605813232,12,Aal
Atypical,bat,mammal,bird,Falcon3-1B-Base,2,3.3110645,6.0537214,0.5,0.00031416902293433867,-1.6486518,-11.1416855,1.0772324,-2.152250499999999,89.15949343999999,14,3.6207220000000007,2.8453500000000007,0.8333333333333334,2.405353134268446,13,143.7479667,1,7.524935300000001,25.580920700000004,14,31.666240413446893,21.53178042101596,10,Fledermaus
Atypical,penguin,bird,fish,Falcon3-1B-Base,3,2.034944,6.0307302,1.0,0.015384615384615385,-0.4808389,-6.3754797,3.5285548,9.5515873,82.57738723,13,0.0,0.0,0.05555555555555555,3.284288891405909,14,111.07545769999999,14,96.42394000000002,0.0,14,54.92933000482403,21.097238027621426,14,Pinguin
Atypical,butterfly,insect,bird,Falcon3-1B-Base,4,1.5754265,6.409446,1.0,0.0006361323155216285,-0.29319322,-9.915815,4.10299118,-1.3001079999999998,81.09224066,14,5.6816334,2.798916,0.6666666666666666,3.924036751046599,14,135.87721297360002,12,24.7962236264,23.783990600000003,15,44.92329400969013,19.43794516479847,15,Schmetterling
Atypical,sea lion,mammal,fish,Falcon3-1B-Base,5,2.6596558,5.9660416,0.5,0.0010638297872340426,-2.121149,-9.402046,2.2387553000000002,5.041252,85.48938929999998,11,2.520636999999999,0.0,0.2777777777777778,2.6493325506528382,14,144.6853945,1,43.4819978,3.2348479999999977,1,37.966934304063926,16.716858023698173,11,Seeloewe
Atypical,whale,mammal,fish,Falcon3-1B-Base,6,3.12539,5.7105923,1.0,0.0017391304347826088,-1.306571,-8.848985,1.4359102,5.4353989999999985,77.02686564,11,2.325927,0.0,0.2777777777777778,3.0191826321820314,13,138.799796,1,45.405270400000006,2.5624664999999993,1,41.20341794378592,25.137974614295274,11,Wal
Typical,alligator,reptile,mammal,Falcon3-1B-Base,7,2.394148,5.9390645,1.0,0.00025693730729701953,-0.62750095,-11.365628,5.11201205,-2.3976989999999994,81.3726175,11,2.3976989999999994,2.3976989999999994,0.6111111111111112,2.6491265605114713,16,139.60574215,9,32.95383364999999,9.861764499999996,14,40.8571483715523,19.50904095553071,14,Alligator
Typical,chameleon,reptile,insect,Falcon3-1B-Base,8,1.7625756,5.721198,0.5,0.0010319917440660474,-1.3958411,-9.584381,4.8805369,1.3500519999999998,79.4416678,14,0.7766920000000006,0.0,0.1111111111111111,3.9962858608801395,13,126.01694493000001,9,45.97182027,0.7766920000000006,14,43.765338828573846,17.10487788474505,14,Chamaeleon
Typical,falcon,bird,reptile,Falcon3-1B-Base,9,1.0037447,5.471291,1.0,0.011363636363636364,-0.15199398,-6.814561,7.5034635199999995,3.977671,75.92949057999999,13,0.7588444000000001,0.7588444000000001,0.7222222222222222,5.254485544850126,12,101.057958415,12,73.059865085,0.8742354000000008,14,72.19398756165138,21.557725873445296,14,Falke
Typical,goldfish,fish,amphibian,Falcon3-1B-Base,10,3.4491787,5.7362695,1.0,6.564264145989234e-05,-1.05991,-13.828952,2.9163826,-3.3313509999999997,78.51363909999999,14,3.957231499999999,3.3313509999999997,0.7222222222222222,3.354756546451742,14,159.87317355000002,12,25.58269205,11.690871499999997,14,41.64989544157056,20.64596678745837,14,Goldfisch
Typical,shark,fish,mammal,Falcon3-1B-Base,11,2.7708898,6.107839,1.0,4.610844706750277e-05,-0.6920269,-14.399553,4.0732586,-4.944369,79.50052302,11,5.348689,5.348689,0.8888888888888888,2.6012207860929326,15,169.105964026,12,22.029069474,30.917440799999998,14,49.02521587374587,33.644263663705615,14,Hai
Typical,dog,mammal,insect,Falcon3-1B-Base,12,2.5981631,5.713257,0.5,0.0005955926146515784,-1.264714,-10.315797,9.308778,2.7638149999999992,77.36144583,12,4.031619999999998,0.0,0.16666666666666666,2.1505250894468353,12,138.4805164,1,97.5343656,4.313796999999997,0,81.41588479091455,0.23583979258668133,14,Hund
Typical,rabbit,mammal,reptile,Falcon3-1B-Base,13,3.0656097,6.1120977,1.0,0.0005624296962879641,-1.0698491,-10.200506,8.1069499,1.6466129999999986,83.6669151,13,3.2570940000000004,1.6416940000000002,0.7222222222222222,2.5272625901498222,16,143.2489934,1,38.7982181,7.0396771000000005,14,53.20177038669377,12.37796716869044,14,Kaninchen
Typical,cat,mammal,reptile,Falcon3-1B-Base,14,2.5666094,5.302417,0.5,0.0007496251874062968,-1.3885734,-10.074335,5.721903999999999,2.43163,77.24029709999999,11,3.4635800000000003,0.4370364999999996,0.7222222222222222,2.300600306305426,12,133.10156160000003,1,36.1585472,5.0076065,14,47.84514971833092,11.571712118018137,14,Katze
Typical,rattlesnake,reptile,amphibian,Falcon3-1B-Base,15,3.1848648,5.5731416,0.16666666666666666,0.0006811989100817438,-3.4322052,-10.083423,4.6019608000000005,1.4652510000000003,84.56060286,14,1.1160820000000005,0.0,0.16666666666666666,0.9550301936681193,14,146.0288435,16,56.462312499999996,1.1514360000000003,14,47.61405441755455,6.1925318326909435,14,Klapperschlange
Typical,salmon,fish,mammal,Falcon3-1B-Base,16,1.1863391,5.8196836,1.0,7.85175879396985e-05,-0.16975127,-13.59353,6.82819073,-2.634701999999999,77.19010270999999,14,2.634701999999999,2.634701999999999,0.7777777777777778,4.25598928676132,13,153.9101564681,12,48.918817431899996,8.4116185,14,72.62025408614166,28.725381006913885,14,Lachs
Typical,lion,mammal,fish,Falcon3-1B-Base,17,2.9555144,6.023649,0.14285714285714285,0.00047824007651841227,-2.9346604,-10.506155,5.7710186,5.154584,83.71814107,14,2.477874,0.0,0.2777777777777778,0.7865923882138504,13,154.0112765,16,79.60359100000001,2.9468639999999997,1,69.33488263095794,18.001315095085143,14,Loewe
Typical,horse,mammal,bird,Falcon3-1B-Base,18,2.7679045,5.7265863,0.5,0.0005042864346949068,-2.954362,-10.537144,6.063212,-1.3314190000000004,76.42059573999998,13,3.780528499999999,1.5002769999999988,0.6666666666666666,1.1351813670241466,16,157.6935028,16,36.3767052,18.6325232,13,51.31246380803327,9.166381105376681,13,Pferd
Typical,sparrow,bird,mammal,Falcon3-1B-Base,19,1.3278229,6.287264,1.0,0.009174311926605505,-0.2311697,-6.7978315,6.3231206,3.4656595,79.35470892999999,14,0.0,0.0,0.05555555555555555,5.260021076606852,12,101.285991662,12,72.542390438,0.0,14,55.00023453315772,14.793028287072818,14,Spatz
Atypical,eel,fish,reptile,Falcon3-3B-Base,1,1.427449,5.8181624,1.0,0.00029967036260113877,-0.24040101,-10.920612,5.10413629,2.2853049999999993,119.73067759999998,16,1.3856211000000007,1.3856211000000007,0.9090909090909091,2.677156544338048,18,204.90466355999996,14,37.981941840000005,2.463607600000001,18,37.95450890736074,26.395949893532183,18,Aal
Atypical,bat,mammal,bird,Falcon3-3B-Base,2,2.9170175,6.1812663,1.0,0.0016666666666666668,-1.1458378,-8.76278,1.265274,0.06268000000000029,119.2990171,16,5.317372000000001,3.6252666,0.5,5.539478288121533,17,176.99612545999997,1,42.22375114,32.4167036,1,72.31185223503647,17.61539503217793,14,Fledermaus
Atypical,penguin,bird,fish,Falcon3-3B-Base,3,1.1846302,7.160014,1.0,0.003484320557491289,-0.22154917,-7.7714834,4.6406458299999995,3.2053146000000003,123.3989208,16,0.0,0.0,0.045454545454545456,2.591827097809594,19,163.50822546,19,82.87120094,0.0,18,59.37016489836663,17.257590668297,18,Pinguin
Atypical,butterfly,insect,bird,Falcon3-3B-Base,4,2.3476443,4.991847,1.0,0.0003459010722933241,-0.43131784,-10.923992,6.056844659999999,-3.3820046,121.363518177,18,6.542674000000002,5.007749,0.7727272727272727,3.621340792138167,18,205.982082826,16,41.568171973999995,53.0285532,18,81.24785217583793,34.80037651124307,18,Schmetterling
Atypical,sea lion,mammal,fish,Falcon3-3B-Base,5,2.1323323,6.542243,0.5,0.00026917900403768504,-2.287816,-10.953962,2.722768,0.7423594999999992,122.23352245000001,16,4.1656145,1.1755399999999998,0.45454545454545453,3.4984463037225986,17,192.74147741000002,1,53.33543529,7.7660655,1,83.39755374356949,22.604010324180507,16,Seeloewe
Atypical,whale,mammal,fish,Falcon3-3B-Base,6,2.591407,6.9879656,1.0,0.0007429420505200594,-1.1213801,-9.498041,2.083765,0.5123099999999994,120.7530198,16,3.7867700000000006,1.1839809999999993,0.5,5.527770811949566,17,176.51475225000002,1,62.16496485,7.183413999999999,1,82.87765335895891,21.44054539092552,18,Wal
Typical,alligator,reptile,mammal,Falcon3-3B-Base,7,1.9847522,5.996088,1.0,0.00015062509414068384,-0.46853846,-11.784391,4.41329754,-0.9060939999999995,117.75370573000002,16,3.234274000000001,2.5128129999999995,0.8181818181818182,4.661621584824421,17,206.69098939000003,12,23.559124510000004,13.423523999999995,18,49.68490879905682,30.630330304105513,18,Alligator
Typical,chameleon,reptile,insect,Falcon3-3B-Base,8,2.3554847,3.8816075,0.5,0.00011693171188026193,-1.6618881,-12.653308,2.0746727,-1.339113000000001,114.46294885,18,2.813561,2.813561,0.6363636363636364,3.3489993254905803,17,223.6465801,16,35.199043700000004,16.345145499999997,18,65.73687434611037,31.75195407994186,18,Chamaeleon
Typical,falcon,bird,reptile,Falcon3-3B-Base,9,0.52768105,7.2718515,1.0,0.008695652173913044,-0.069726676,-6.7965302,9.244137324,6.2515768,117.807684654,16,0.0,0.0,0.045454545454545456,5.099482251634816,17,132.88517889300002,17,123.69015270700001,0.0,18,65.84221653752672,14.68505050570512,18,Falke
Typical,goldfish,fish,amphibian,Falcon3-3B-Base,10,2.6629806,6.796629,1.0,0.0008136696501220504,-0.6118674,-9.493038,7.630759600000001,3.4919390000000003,131.1173718,16,0.0,0.0,0.045454545454545456,3.7894008164602058,18,184.94808666,4,91.82519304000002,0.0,18,69.30335177279682,16.001345137869826,18,Goldfisch
Typical,shark,fish,mammal,Falcon3-3B-Base,11,2.0549304,6.947338,1.0,0.0006747638326585695,-0.43830296,-9.660879,5.58846764,0.21342300000000058,121.81807460000002,16,3.2703,3.2703,0.9090909090909091,2.8313841577375007,19,193.25577060999998,14,27.581222290000007,14.793818000000002,18,43.57087175225803,45.07157368234857,18,Hai
Typical,dog,mammal,insect,Falcon3-3B-Base,12,1.955365,6.6544094,0.5,0.0004789272030651341,-1.1737399,-10.111678,10.259197100000002,2.9399510000000006,111.63455533999999,16,0.04396099999999947,0.0,0.09090909090909091,2.3260815503446897,17,187.20390599999996,1,129.0073955,0.04396099999999947,14,120.59724003169848,2.735741990185882,14,Hund
Typical,rabbit,mammal,reptile,Falcon3-3B-Base,13,2.9095392,6.8802185,1.0,0.00015248551387618176,-1.2320914,-11.537914,7.8788926,1.6171669999999985,118.89089046,16,0.586405000000001,0.0,0.13636363636363635,4.507187358459712,18,193.13335983000002,1,75.02640016999999,0.6241040000000009,1,71.85213388332365,7.1223461122810425,14,Kaninchen
Typical,cat,mammal,reptile,Falcon3-3B-Base,14,2.2443092,6.5641007,0.5,0.00040584415584415587,-1.3486001,-10.346362,6.2679122,2.2088740000000016,115.70657840000001,16,0.48813499999999976,0.0,0.13636363636363635,3.021249306499345,14,187.69502759999997,1,69.9660307,0.6273349999999986,1,63.3407107577088,9.952321469897143,14,Katze
Typical,rattlesnake,reptile,amphibian,Falcon3-3B-Base,15,2.0097275,6.2706676,0.5,0.00015344483658124905,-1.7802535,-11.721879,6.4615465,0.5531850000000009,123.1579216,16,1.9919399999999996,0.0,0.2727272727272727,3.5946876238020895,17,207.56121499999998,16,55.2473655,2.5239670000000007,16,61.578244276704865,8.56136255763048,16,Klapperschlange
Typical,salmon,fish,mammal,Falcon3-3B-Base,16,1.5330054,6.8952804,1.0,0.001218026796589525,-0.24501246,-8.980687,7.69683394,2.7525910000000007,126.11851932599998,17,1.2819070000000004,1.2819070000000004,0.3181818181818182,4.753220184396199,17,180.197236317,14,65.641241883,3.1290285000000004,18,63.0234221593014,19.904054211540863,18,Lachs
Typical,lion,mammal,fish,Falcon3-3B-Base,17,2.9806354,5.832076,0.14285714285714285,0.0001783166904422254,-3.3198705,-11.530954,5.2916325,-0.5352680000000003,116.08455298999998,16,3.8857339999999994,1.6438130000000015,0.5454545454545454,1.864112367747023,17,201.80330329999998,1,88.56853920000002,10.0726945,1,116.29275870675201,17.62058856704897,17,Loewe
Typical,horse,mammal,bird,Falcon3-3B-Base,18,2.4815416,7.3631854,0.5,0.000757002271006813,-1.1093032,-9.351255,6.984010799999999,-0.49967000000000006,113.9848605,16,5.259219999999999,3.4786004999999998,0.5454545454545454,3.3802448350479617,14,181.62010790000002,1,83.0897766,29.106823999999996,17,110.11868010250157,15.857227656162644,17,Pferd
Typical,sparrow,bird,mammal,Falcon3-3B-Base,19,1.0005503,6.4841604,1.0,0.008620689655172414,-0.27665305,-7.056238,8.05200295,5.586929500000001,121.77744633,16,0.0,0.0,0.045454545454545456,5.402604215233802,17,127.01986126999999,13,108.78265533,0.0,18,73.6557077872605,29.191127285194426,18,Spatz
Atypical,eel,fish,reptile,Llama-2-13b-hf,1,1.2039772,5.7541943,1.0,1.0,-0.20935231,-0.92633355,8.88457669,10.195550449999999,199.80224287,17,0.0,0.0,0.025,22.2497378167541,17,156.137744606,17,367.8137568940001,0.0,17,155.0806052602606,9.97989957533396,25,Aal
Atypical,bat,mammal,bird,Llama-2-13b-hf,2,2.2429821,5.377827,1.0,4.566001552440528e-05,-0.4967372,-12.948565,4.3687575,-6.117733,190.97450270399997,19,7.062563999999999,7.062563999999999,0.85,6.018080795005169,34,488.581999494,32,50.549908106,150.73392370000002,32,95.51335949608422,64.72883841064572,32,Fledermaus
Atypical,penguin,bird,fish,Llama-2-13b-hf,3,1.0464838,7.535391,1.0,1.0,-0.41793123,-2.152891,7.50586677,5.764470299999999,215.21687965,20,3.1384489999999987,0.7080599999999997,0.325,22.286215866371357,17,176.42182489,17,216.46994241000002,15.091704799999999,25,101.10199262279392,27.2435240075372,25,Pinguin
Atypical,butterfly,insect,bird,Llama-2-13b-hf,4,2.0075946,6.5567245,1.0,1.0,-0.5861315,-1.7277979,5.8664141,3.6812998,201.86384044,17,3.272919999999999,1.4773560000000003,0.425,21.190690997465104,18,196.032221885,17,185.59958031499997,13.056908300000003,19,84.26411250509116,21.270935851511858,24,Schmetterling
Atypical,sea lion,mammal,fish,Llama-2-13b-hf,5,3.147104,7.4089103,0.07142857142857142,0.00010719262514738985,-4.480117,-11.174604,1.1122974,-4.374989,267.33027389999995,17,6.8688774,5.524794,0.875,0.3716529333985316,37,437.5486651,2,5.8586483,110.12427520000001,22,32.55866029155405,43.92700547828427,32,Seeloewe
Atypical,whale,mammal,fish,Llama-2-13b-hf,6,3.0005698,7.6812177,0.3333333333333333,0.0001088020890001088,-1.9424387,-11.063202,-0.29426569999999996,-5.309082,221.32611369,23,6.4950980000000005,5.553289299999999,1.0,2.067918139240565,37,449.1616964,32,1.0942222,159.77411,32,46.902189594345906,70.99350484061505,34,Wal
Typical,alligator,reptile,mammal,Llama-2-13b-hf,7,2.0047965,8.50576,0.5,0.000164257555847569,-1.3037508,-10.431636,6.291643199999999,0.16907899999999998,241.5297481,25,0.0,0.0,0.025,6.178199194814884,37,354.44801918,27,143.92605332000002,0.0,27,94.03864672075366,16.66358181514922,27,Alligator
Typical,chameleon,reptile,insect,Llama-2-13b-hf,8,1.0755942,7.9874973,0.5,0.00011030222810500772,-2.1568687,-10.993758,5.962843299999999,-6.0068157,241.35233778999998,21,6.43846,6.43846,0.725,4.6810176012312725,27,366.2936455,27,56.96797330000001,95.995493,27,103.22773869628018,64.3359010107311,27,Chamaeleon
Typical,falcon,bird,reptile,Llama-2-13b-hf,9,1.5558276,5.1506677,1.0,1.0,-0.4744586,-1.0709285,10.0717894,11.824838499999998,194.51121708,17,0.0,0.0,0.025,15.663926567425872,17,208.13390592000002,17,369.28752358,0.0,17,151.70011727150955,17.610098614215495,17,Falke
Typical,goldfish,fish,amphibian,Llama-2-13b-hf,10,2.4187698,6.9340725,1.0,1.0,-0.81390667,-1.4170485,9.88264933,10.1348445,202.10737971999998,19,0.30450299999999864,0.0,0.05,21.34164364738784,18,173.63494505399999,16,351.012878946,0.30450299999999864,24,140.20042321736784,13.946659362200968,24,Goldfisch
Typical,shark,fish,mammal,Llama-2-13b-hf,11,1.1132421,8.092598,1.0,0.5,-0.18883085,-3.4021857,6.838888150000001,8.2565413,228.36697886000002,25,0.0,0.0,0.025,18.999249754575565,23,179.87842229,17,304.32275021,0.0,0,120.89567896840829,17.2092497924884,25,Hai
Typical,dog,mammal,insect,Llama-2-13b-hf,12,2.813704,2.700309,0.2,9.471490812653911e-05,-2.7330604,-13.01497,6.109687600000001,-3.1955810000000007,205.7678711,17,6.712255000000001,6.712255000000001,0.8,0.9937461701550809,35,493.1885792,32,47.185175799999996,83.1977735,32,73.35235222047439,34.798064551136356,32,Hund
Typical,rabbit,mammal,reptile,Llama-2-13b-hf,13,2.5138881,6.2544303,1.0,0.00010569707219110031,-0.77664685,-11.39115,9.88643415,0.812246,200.85152012,17,2.530201999999999,2.530201999999999,0.425,4.662502316768505,35,491.11402365,32,128.53812935000002,19.495142,32,100.29142469565019,21.8220189866688,32,Kaninchen
Typical,cat,mammal,reptile,Llama-2-13b-hf,14,3.0062542,6.0425177,0.2,7.171029042667623e-05,-2.4589653,-12.0568905,7.0695837,0.7953694999999996,210.9164003,17,3.1644974999999995,3.096779999999999,0.425,1.2493833013346747,37,484.8034993,32,99.2087087,25.234989999999996,32,82.27031687152189,15.98749892875648,32,Katze
Typical,rattlesnake,reptile,amphibian,Llama-2-13b-hf,15,1.7175626,8.811878,0.125,0.00013152702880441932,-5.2697005,-10.579681,5.314134500000001,0.3796949999999999,210.65775696999998,19,2.614644,0.6374770000000005,0.425,0.6389204273168131,37,442.1265729,27,89.4314966,10.840228499999998,27,55.58348086716852,15.845087909725233,27,Klapperschlange
Typical,salmon,fish,mammal,Llama-2-13b-hf,16,1.2998433,1.224561,1.0,1.0,-0.21535064,-0.11997599,8.13567136,13.141463009999999,174.710728013,17,0.0,0.0,0.025,22.43241922449313,17,151.6301660271,17,421.1472839729,0.0,17,160.16610942403074,24.48797217668765,17,Lachs
Typical,lion,mammal,fish,Llama-2-13b-hf,17,2.6054823,6.4726405,0.25,7.090187180941577e-05,-3.6151776,-11.916399,2.9117898999999996,-1.6947170000000007,209.44193855999998,20,6.906547,5.943638,0.775,0.9006460604364247,37,483.7532314,37,21.3507966,81.41608000000001,15,49.181032751617224,43.85519173706107,37,Loewe
Typical,horse,mammal,bird,Llama-2-13b-hf,18,3.0507207,3.038865,0.5,5.119803399549457e-05,-1.7288969,-13.908707,5.890459699999999,-3.4949080000000006,203.18773128,20,7.161759,7.161759,0.8,3.040030577863525,37,490.21162549999997,32,47.3920736,99.3159898,32,79.01914559246615,55.16491179811172,32,Pferd
Typical,sparrow,bird,mammal,Llama-2-13b-hf,19,1.7193698,0.8271844,1.0,1.0,-0.66371423,-0.2546202,7.966085769999999,14.7927868,177.25649859,17,0.0,0.0,0.025,23.1384293535096,16,152.92354135699998,16,431.60075314299996,0.0,17,158.00159095258107,26.901397412560282,17,Spatz
Atypical,eel,fish,reptile,Llama-2-70b-hf,1,1.9686459,9.214373,1.0,0.25,-0.63040507,-5.435538,9.02498593,7.063146000000001,420.27910962500005,44,0.26441799999999915,0.0,0.05,39.72430575245077,40,334.0079546145,7,663.3187303854999,0.47743699999999833,44,209.92909597908456,33.48771875170981,44,Aal
Atypical,bat,mammal,bird,Llama-2-70b-hf,2,4.596436,9.034233,1.0,0.00021294718909710392,-1.674493,-10.038509,2.5465859999999996,-2.8739505999999997,466.15368202,43,4.5291984,3.2917825,0.8125,9.453074329066737,71,789.8695780899999,60,57.57917381,127.03506169999994,68,131.22301337097008,82.32705564914188,68,Fledermaus
Atypical,penguin,bird,fish,Llama-2-70b-hf,3,2.1296089,9.305616,1.0,0.03125,-0.61985236,-6.7744565,3.9324056400000003,2.043902499999999,474.36617989999996,44,0.0,0.0,0.0125,32.40025874256413,41,393.64784025000006,41,348.84090365000014,0.0,44,132.51167396356163,44.06795587720694,44,Pinguin
