correct,incorrect,model,unique_id,syllogism_name,order_first,is_valid,is_realistic,is_consistent,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
invalid,valid,Llama-2-13b-hf,computers_electronics_expensive^violate^invalid,computers_electronics_expensive,1,False,True,False,2.896,4.145,1.0,0.1,-1.042,-5.03,0.5229999999999999,-2.95,156.9976,19,3.5680000000000005,3.5680000000000005,0.725,13.06047384130012,37,237.0822,20,10.342999999999998,46.376200000000004,27,30.680683059727784,53.29834626542751,25
invalid,valid,Llama-2-13b-hf,computers_electronics_expensive^violate^invalid,computers_electronics_expensive,2,False,True,False,2.904,3.982,1.0,0.07692307692307693,-1.129,-5.37,0.31200000000000006,-3.481,155.6534,19,4.025,4.025,0.875,11.310007071571803,33,243.39979999999997,20,6.584500000000001,51.71409999999999,27,28.984213738751173,55.88577703603883,25
valid,invalid,Llama-2-13b-hf,plants_trees_tall^consistent^valid,plants_trees_tall,1,True,True,True,2.684,4.266,1.0,1.0,-1.055,-1.341,0.28100000000000014,4.741,158.65,19,0.968,0.968,0.95,14.423451863124104,18,186.05540000000002,20,69.3736,2.5939999999999994,8,60.60695776159785,26.56000793435369,30
valid,invalid,Llama-2-13b-hf,plants_trees_tall^consistent^valid,plants_trees_tall,2,True,True,True,2.72,4.215,1.0,1.0,-1.032,-1.217,0.367,5.0600000000000005,159.788,19,0.8359999999999999,0.8359999999999999,0.95,14.374352689555636,18,184.4608,20,72.2062,2.1319999999999997,14,61.36878935959008,26.50761366968325,30
invalid,valid,Llama-2-13b-hf,plants_trees_tall^consistent^invalid,plants_trees_tall,1,False,True,True,2.799,4.195,0.5,0.045454545454545456,-1.335,-5.88,-0.20300000000000007,-4.538,157.2242,19,4.335,4.335,1.0,8.976591290025045,27,250.946,20,3.28,65.52740000000001,27,26.252720319482577,59.01475906948762,25
invalid,valid,Llama-2-13b-hf,plants_trees_tall^consistent^invalid,plants_trees_tall,2,False,True,True,2.807,4.086,0.5,0.043478260869565216,-1.365,-5.945,-0.25,-4.777,157.7675,19,4.527,4.527,1.0,8.917823561101397,27,252.0425,20,3.087,67.61370000000001,27,26.30036716313675,59.325844621171726,25
valid,invalid,Llama-2-13b-hf,plants_trees_tall^violate^valid,plants_trees_tall,1,True,True,False,2.785,3.975,1.0,1.0,-1.13,-1.196,0.16400000000000015,4.694,155.9006,19,1.061,1.061,0.95,13.458265454285566,18,187.7157,20,65.7083,2.976,30,61.57146107861182,27.230041673240482,30
valid,invalid,Llama-2-13b-hf,plants_trees_tall^violate^valid,plants_trees_tall,2,True,True,False,2.799,4.043,1.0,1.0,-1.156,-1.406,0.11699999999999999,4.418,154.9945,19,1.133,1.133,0.95,13.285679571913406,18,189.49540000000002,20,63.80160000000001,3.2499999999999996,30,61.37500416528411,27.035623993031116,30
invalid,valid,Llama-2-13b-hf,plants_trees_tall^violate^invalid,plants_trees_tall,1,False,True,False,2.746,4.19,1.0,0.125,-0.956,-4.668,0.617,-2.443,153.7129,19,3.4379999999999997,3.4379999999999997,0.675,13.67417770930269,37,233.1802,20,14.1018,43.158999999999985,27,31.37976238355955,51.73428683243188,25
invalid,valid,Llama-2-13b-hf,plants_trees_tall^violate^invalid,plants_trees_tall,2,False,True,False,2.775,4.227,1.0,0.1,-1.07,-5.1,0.32099999999999995,-3.26,155.0977,19,3.854,3.854,0.875,12.389991745449098,33,239.0655,20,7.934099999999999,49.51159999999999,27,28.924137283708955,55.36852393713009,25
valid,invalid,Llama-2-13b-hf,flowers_animals_reptiles^consistent^valid,flowers_animals_reptiles,1,True,True,True,2.678,4.293,1.0,1.0,-1.102,-1.256,0.17099999999999982,4.803999999999999,159.5371,19,1.0160000000000002,1.0160000000000002,0.95,14.234154802003467,18,181.7196,20,70.81890000000003,2.7290000000000005,8,61.07703875895404,26.844594245092466,30
valid,invalid,Llama-2-13b-hf,flowers_animals_reptiles^consistent^valid,flowers_animals_reptiles,2,True,True,True,2.586,4.152,1.0,1.0,-1.03,-1.174,0.266,5.24,160.2656,19,0.7569999999999999,0.7569999999999999,0.95,14.965971354308587,18,176.1673,20,76.7822,1.8509999999999998,14,63.83779355503199,27.003373898900158,30
invalid,valid,Llama-2-13b-hf,flowers_animals_reptiles^consistent^invalid,flowers_animals_reptiles,1,False,True,True,2.643,4.098,0.5,0.03333333333333333,-1.366,-6.24,-0.3510000000000002,-5.143000000000001,160.2902,19,4.8790000000000004,4.8790000000000004,1.0,8.722890789584179,27,252.629,20,1.328,76.77820000000001,27,26.781043541033796,63.900632145938204,25
invalid,valid,Llama-2-13b-hf,flowers_animals_reptiles^consistent^invalid,flowers_animals_reptiles,2,False,True,True,2.613,4.242,0.5,0.03225806451612903,-1.301,-6.188,-0.25,-4.936999999999999,160.5435,19,4.989999999999999,4.989999999999999,1.0,8.733737002734296,27,249.209,20,2.0799999999999996,73.27619999999999,27,27.04942388275795,62.736391879258015,25
valid,invalid,Llama-2-13b-hf,flowers_animals_reptiles^violate^valid,flowers_animals_reptiles,1,True,True,False,2.656,4.496,1.0,1.0,-1.115,-1.472,0.14100000000000001,4.118,160.28499999999997,19,1.2109999999999999,1.2109999999999999,0.95,14.033305473786513,18,182.3766,20,64.7144,3.3269999999999995,30,59.149413192858084,26.74947319127562,30
valid,invalid,Llama-2-13b-hf,flowers_animals_reptiles^violate^valid,flowers_animals_reptiles,2,True,True,False,2.607,4.56,1.0,1.0,-1.122,-1.379,0.08599999999999985,4.218999999999999,162.19299999999998,19,1.227,1.227,0.95,13.967964733940686,18,182.2693,20,64.51169999999998,3.3900000000000006,8,59.83200601825156,27.325872142811452,30
invalid,valid,Llama-2-13b-hf,flowers_animals_reptiles^violate^invalid,flowers_animals_reptiles,1,False,True,False,2.574,4.594,0.5,0.058823529411764705,-1.182,-5.625,-0.04699999999999993,-3.932,161.1667,19,4.225,4.225,1.0,9.207625659461677,27,242.589,20,3.549,62.4317,27,26.446641678403875,57.78181067319017,25
invalid,valid,Llama-2-13b-hf,flowers_animals_reptiles^violate^invalid,flowers_animals_reptiles,2,False,True,False,2.648,4.676,0.5,0.047619047619047616,-1.193,-5.766,-0.039000000000000146,-4.048,161.873,19,4.221,4.221,1.0,8.93694502358737,27,244.784,20,3.7039999999999997,62.70979999999998,27,26.685490903488205,58.06320326433619,25
valid,invalid,Llama-2-13b-hf,gems_diamonds_transparent^consistent^valid,gems_diamonds_transparent,1,True,True,True,2.691,4.42,1.0,1.0,-1.003,-1.3545,0.41400000000000015,4.9775,160.9375,19,0.8440000000000003,0.8440000000000003,0.95,14.32289086489197,18,184.8068,20,72.68719999999999,2.0090000000000003,30,59.83476815411555,24.8811256503237,30
valid,invalid,Llama-2-13b-hf,gems_diamonds_transparent^consistent^valid,gems_diamonds_transparent,2,True,True,True,2.732,4.49,1.0,1.0,-0.9897,-1.367,0.4993000000000001,5.213,161.622,19,0.7190000000000001,0.7190000000000001,0.95,13.890499966623914,18,184.96769999999998,24,75.28130000000002,1.5689999999999997,14,59.63796597380485,24.47563115797518,30
invalid,valid,Llama-2-13b-hf,gems_diamonds_transparent^consistent^invalid,gems_diamonds_transparent,1,False,True,True,2.729,4.266,0.5,0.023809523809523808,-1.487,-6.56,-0.5160000000000001,-5.356,159.8443,19,4.84,4.84,1.0,8.226842590564033,27,259.187,20,1.1890000000000005,77.4533,27,24.501180914717274,61.472024187507465,21
invalid,valid,Llama-2-13b-hf,gems_diamonds_transparent^consistent^invalid,gems_diamonds_transparent,2,False,True,True,2.684,4.332,0.5,0.015384615384615385,-1.581,-6.94,-0.6713,-5.775,161.096,19,5.1037,5.1037,1.0,7.388135966200313,27,263.775,20,0.42799999999999994,83.25800000000001,27,24.148339637276436,63.181786287329615,21
valid,invalid,Llama-2-13b-hf,gems_diamonds_transparent^violate^valid,gems_diamonds_transparent,1,True,True,False,2.836,4.2,1.0,1.0,-1.1045,-1.304,0.26550000000000007,4.686,158.838,19,1.024,1.024,0.95,13.322992655757936,18,187.0819,20,67.0081,2.72,8,60.221467175076945,26.265667831345127,30
valid,invalid,Llama-2-13b-hf,gems_diamonds_transparent^violate^valid,gems_diamonds_transparent,2,True,True,False,2.89,4.082,1.0,1.0,-1.099,-1.261,0.32000000000000006,4.895,158.1343,19,0.891,0.891,0.95,13.304232989116056,18,186.14499999999998,24,71.05999999999997,2.2880000000000007,14,60.57053209489121,25.74401257840312,30
invalid,valid,Llama-2-13b-hf,gems_diamonds_transparent^violate^invalid,gems_diamonds_transparent,1,False,True,False,2.828,4.36,1.0,0.1111111111111111,-1.112,-4.96,0.2889999999999999,-2.966,157.0617,19,3.759999999999999,3.759999999999999,0.875,11.90517201958418,33,238.0953,20,8.4053,47.544700000000006,27,28.11901783772293,51.345688843063975,25
invalid,valid,Llama-2-13b-hf,gems_diamonds_transparent^violate^invalid,gems_diamonds_transparent,2,False,True,False,2.86,4.32,1.0,0.09090909090909091,-1.172,-5.117,0.18700000000000006,-3.141,157.31119999999999,19,3.7600000000000007,3.7600000000000007,0.875,11.331562662469114,33,241.15900000000002,20,6.807000000000001,49.4729,27,27.60193737230569,53.111729461115345,25
valid,invalid,Llama-2-13b-hf,guns_weapons_dangerous^consistent^valid,guns_weapons_dangerous,1,True,True,True,2.775,4.0,1.0,1.0,-1.0205,-1.22,0.4295,5.405,155.947,19,0.6100000000000001,0.6100000000000001,0.95,14.448022978208666,18,181.68220000000002,20,78.5538,1.2419999999999998,14,65.11148345532357,25.81505126015563,30
valid,invalid,Llama-2-13b-hf,guns_weapons_dangerous^consistent^valid,guns_weapons_dangerous,2,True,True,True,2.75,3.943,1.0,1.0,-1.001,-1.127,0.4770000000000001,5.697,157.0223,19,0.5239999999999998,0.5239999999999998,0.95,14.982030161242474,18,179.61016,20,81.03583999999998,0.9539999999999995,14,66.43748130353984,26.295533425374742,30
invalid,valid,Llama-2-13b-hf,guns_weapons_dangerous^consistent^invalid,guns_weapons_dangerous,1,False,True,True,2.723,4.17,0.5,0.03125,-1.323,-6.246,-0.242,-4.801,156.4595,19,4.624,4.624,1.0,8.90542362715258,27,253.361,20,2.515,70.3207,27,26.68195191691244,62.47105420282155,25
invalid,valid,Llama-2-13b-hf,guns_weapons_dangerous^consistent^invalid,guns_weapons_dangerous,2,False,True,True,2.783,4.125,0.5,0.029411764705882353,-1.319,-6.27,-0.19499999999999984,-4.8469999999999995,156.55539999999996,19,4.674999999999999,4.674999999999999,1.0,8.734956081911008,27,253.079,20,3.0250000000000004,69.1604,27,27.148601823625054,61.812112165763686,25
valid,invalid,Llama-2-13b-hf,guns_weapons_dangerous^violate^valid,guns_weapons_dangerous,1,True,True,False,2.863,4.145,1.0,1.0,-1.157,-1.456,0.17999999999999994,4.677,156.085,19,1.0780000000000003,1.0780000000000003,0.95,13.238606552190408,18,186.58,20,68.05850000000002,2.999,8,61.24691011459064,26.652798436035273,30
valid,invalid,Llama-2-13b-hf,guns_weapons_dangerous^violate^valid,guns_weapons_dangerous,2,True,True,False,2.828,4.266,1.0,1.0,-1.193,-1.541,0.07799999999999985,4.409000000000001,157.2597,19,1.2579999999999998,1.2579999999999998,0.95,14.052855397972793,18,187.19129999999998,20,64.9267,3.655,30,60.4003154722716,27.756206976147936,30
invalid,valid,Llama-2-13b-hf,guns_weapons_dangerous^violate^invalid,guns_weapons_dangerous,1,False,True,False,2.82,4.312,1.0,0.06666666666666667,-1.099,-5.375,0.27300000000000013,-3.08,154.3526,19,3.670000000000001,3.670000000000001,0.875,11.297876707058348,33,241.98729999999998,20,7.3757,50.66570000000001,27,28.19627132516946,54.55425491609453,25
invalid,valid,Llama-2-13b-hf,guns_weapons_dangerous^violate^invalid,guns_weapons_dangerous,2,False,True,False,2.797,4.23,1.0,0.09090909090909091,-1.016,-5.055,0.484,-2.493,153.98739999999998,19,3.363999999999999,3.363999999999999,0.675,13.581252083385623,37,236.56939999999997,20,11.411599999999998,45.46259999999999,27,29.313166856805605,52.77992789045114,25
valid,invalid,Llama-2-13b-hf,dragons_mythical_exist^consistent^valid,dragons_mythical_exist,1,True,True,True,2.623,4.348,1.0,1.0,-1.049,-1.238,0.23399999999999999,5.039,160.9215,19,0.8579999999999999,0.8579999999999999,0.95,14.678178029100486,18,178.0939,20,72.98660000000001,2.0604999999999998,8,64.53436969323698,27.60409529094945,30
valid,invalid,Llama-2-13b-hf,dragons_mythical_exist^consistent^valid,dragons_mythical_exist,2,True,True,True,2.629,4.395,1.0,1.0,-1.103,-1.324,0.11699999999999999,4.711,160.7714,19,1.0080000000000002,1.0080000000000002,0.95,14.615361211981085,18,180.8669,20,68.32909999999998,2.715500000000001,8,62.52222924345826,27.916561910565573,30
invalid,valid,Llama-2-13b-hf,dragons_mythical_exist^consistent^invalid,dragons_mythical_exist,1,False,True,True,2.602,4.56,0.5,0.045454545454545456,-1.205,-5.74,-0.08600000000000008,-4.3420000000000005,162.1687,19,4.748,4.748,1.0,8.996407547480402,27,242.13299999999998,20,3.507,64.36749999999999,27,27.228790080427093,59.78876132863065,25
invalid,valid,Llama-2-13b-hf,dragons_mythical_exist^consistent^invalid,dragons_mythical_exist,2,False,True,True,2.613,4.496,1.0,0.045454545454545456,-1.144,-5.86,0.03100000000000014,-4.36,160.42000000000002,19,4.7299999999999995,4.7299999999999995,1.0,9.453472070411067,27,243.59699999999995,20,3.592,63.4338,27,27.726319802931886,61.10724961996665,25
invalid,valid,Llama-2-13b-hf,dragons_mythical_exist^violate^invalid,dragons_mythical_exist,1,False,True,False,2.633,4.29,0.5,0.02631578947368421,-1.253,-6.348,-0.16399999999999992,-5.04,158.57,19,4.949000000000001,4.949000000000001,1.0,8.87152739395221,27,252.4735,20,2.4610000000000003,72.05390000000001,27,26.978298884259697,64.29600599984751,25
invalid,valid,Llama-2-13b-hf,dragons_mythical_exist^violate^invalid,dragons_mythical_exist,2,False,True,False,2.674,4.28,0.5,0.02702702702702703,-1.23,-6.31,-0.08499999999999996,-4.997,158.3973,19,4.9879999999999995,4.9879999999999995,1.0,8.923921559101093,27,250.4905,20,2.975,69.66079999999998,27,27.547126238754235,63.364734629947414,25
valid,invalid,Llama-2-13b-hf,dragons_mythical_exist^violate^valid,dragons_mythical_exist,1,True,True,False,2.56,4.3,1.0,1.0,-0.9424,-1.203,0.45309999999999995,5.686999999999999,161.1213,19,0.25,0.25,0.95,15.693801191789579,18,175.8958,20,83.4327,0.29700000000000015,8,67.11023401991778,26.055227605205868,30
valid,invalid,Llama-2-13b-hf,dragons_mythical_exist^violate^valid,dragons_mythical_exist,2,True,True,False,2.637,4.26,1.0,1.0,-0.991,-1.195,0.406,5.508,159.98,19,0.562,0.562,0.95,15.213290011915362,18,177.32940000000002,20,80.14360000000003,1.0539999999999998,8,65.5915771951868,26.24702341426306,30
valid,invalid,Llama-2-13b-hf,politicians_dishonest_lie^consistent^valid,politicians_dishonest_lie,1,True,True,True,2.78,4.26,1.0,1.0,-1.062,-1.233,0.32799999999999985,5.026999999999999,158.07659999999998,19,0.9750000000000001,0.9750000000000001,0.95,14.273698082514528,18,184.08429999999998,20,73.29269999999998,2.396000000000001,14,63.34958604106822,27.094351748920985,30
valid,invalid,Llama-2-13b-hf,politicians_dishonest_lie^consistent^valid,politicians_dishonest_lie,2,True,True,True,2.727,4.184,1.0,1.0,-1.011,-1.118,0.41400000000000015,5.327,158.445,19,0.8440000000000001,0.8440000000000001,0.95,14.475372421628094,18,181.9149,24,77.03909999999999,1.9140000000000001,14,64.32254839916574,26.426993829152455,30
invalid,valid,Llama-2-13b-hf,politicians_dishonest_lie^consistent^invalid,politicians_dishonest_lie,1,False,True,True,2.793,4.33,0.5,0.043478260869565216,-1.309,-6.004,-0.17199999999999993,-4.645,157.4733,19,4.736000000000001,4.736000000000001,1.0,8.961274806252767,27,252.312,20,3.4850000000000008,67.78739999999998,27,27.22507846035983,60.985197741475716,25
invalid,valid,Llama-2-13b-hf,politicians_dishonest_lie^consistent^invalid,politicians_dishonest_lie,2,False,True,True,2.814,4.344,0.5,0.03571428571428571,-1.354,-6.105,-0.2350000000000001,-4.748,158.07299999999998,19,4.7250000000000005,4.7250000000000005,1.0,8.760416767064582,27,253.865,20,3.164,69.47739999999997,27,26.694748374469924,60.82602966231212,25
valid,invalid,Llama-2-13b-hf,politicians_dishonest_lie^violate^valid,politicians_dishonest_lie,1,True,True,False,2.893,4.188,1.0,1.0,-1.1875,-1.41,0.13250000000000006,4.508,156.1505,19,1.1720000000000002,1.1720000000000002,0.95,13.003030405210195,18,189.1195,24,66.9865,3.3360000000000003,14,60.84329301146219,26.992627464054248,30
valid,invalid,Llama-2-13b-hf,politicians_dishonest_lie^violate^valid,politicians_dishonest_lie,2,True,True,False,2.828,4.3,1.0,1.0,-1.169,-1.469,0.125,4.411,157.1807,19,1.1730000000000003,1.1730000000000003,0.95,13.058951496568277,18,189.2334,20,65.74410000000002,3.2910000000000004,14,60.895773592878385,27.16974942633388,30
invalid,valid,Llama-2-13b-hf,politicians_dishonest_lie^violate^invalid,politicians_dishonest_lie,1,False,True,False,2.857,4.28,1.0,0.05263157894736842,-1.1875,-5.652,0.10949999999999993,-3.978,155.18200000000002,19,4.358,4.358,1.0,9.4839530868105,27,249.6515,20,4.6735,60.110800000000005,27,27.383124421828647,58.55348238019794,25
invalid,valid,Llama-2-13b-hf,politicians_dishonest_lie^violate^invalid,politicians_dishonest_lie,2,False,True,False,2.896,4.152,0.5,0.05555555555555555,-1.265,-5.76,-0.0239999999999998,-4.269,154.73970000000003,19,4.4,4.4,1.0,8.567634599128397,27,251.66699999999997,20,3.891,63.5943,27,26.821375040485627,59.54750602425853,25
invalid,valid,Llama-2-13b-hf,whales_mammals_big^consistent^invalid,whales_mammals_big,1,False,True,True,2.736,4.387,0.5,0.018867924528301886,-1.404,-6.707,-0.3899999999999999,-5.479,159.6138,19,5.089,5.089,1.0,8.411978911078057,27,260.091,20,1.3479999999999996,77.17719999999997,27,26.76557126435805,63.243934344269846,25
invalid,valid,Llama-2-13b-hf,whales_mammals_big^consistent^invalid,whales_mammals_big,2,False,True,True,2.734,4.266,0.5,0.02702702702702703,-1.333,-6.41,-0.258,-5.163,157.8503,19,4.905,4.905,1.0,8.63211928219199,27,256.302,20,2.377,72.44629999999998,27,26.859634938039452,61.337283747391226,25
valid,invalid,Llama-2-13b-hf,whales_mammals_big^consistent^valid,whales_mammals_big,1,True,True,True,2.654,4.605,1.0,1.0,-1.145,-1.678,0.05400000000000005,4.326,158.747,19,1.352,1.352,0.95,13.65950312722454,18,191.1121,20,62.53240000000001,3.9399999999999995,30,57.3332225455258,27.350431954375722,30
valid,invalid,Llama-2-13b-hf,whales_mammals_big^consistent^valid,whales_mammals_big,2,True,True,True,2.723,4.58,1.0,1.0,-1.109,-1.631,0.16399999999999992,4.572,159.64499999999998,19,1.142,1.142,0.95,13.829424161676306,18,189.70839999999998,20,66.52960000000002,3.2359999999999998,8,58.74096235196762,26.890342120340126,30
invalid,valid,Llama-2-13b-hf,whales_mammals_big^violate^invalid,whales_mammals_big,1,False,True,False,2.756,4.324,1.0,0.07142857142857142,-1.078,-5.375,0.258,-3.497,154.30039999999997,19,3.7959999999999994,3.7959999999999994,0.9,10.46512267689499,27,243.83819999999997,20,6.4693,52.3483,27,28.440288765405583,55.42605404817268,25
invalid,valid,Llama-2-13b-hf,whales_mammals_big^violate^invalid,whales_mammals_big,2,False,True,False,2.816,4.31,1.0,0.05,-1.158,-5.79,0.11699999999999999,-4.014,154.6787,19,4.12,4.12,0.975,10.05056216108888,37,249.29200000000003,20,4.836999999999999,57.64909999999998,27,27.933566309478387,57.10267051762673,25
valid,invalid,Llama-2-13b-hf,whales_mammals_big^violate^valid,whales_mammals_big,1,True,True,False,2.803,4.406,0.5,0.5,-1.261,-1.771,-0.09399999999999986,3.739,156.488,19,1.4460000000000004,1.4460000000000004,1.0,11.780051156317747,30,194.29569999999998,24,57.37930000000001,4.7490000000000006,30,56.02526489717135,27.265561014116727,30
valid,invalid,Llama-2-13b-hf,whales_mammals_big^violate^valid,whales_mammals_big,2,True,True,False,2.787,4.39,0.5,0.5,-1.291,-1.724,-0.16399999999999992,3.753,156.4275,19,1.4210000000000003,1.4210000000000003,1.0,11.464498750040775,30,193.0647,20,56.4838,5.03,30,56.31080069211337,27.815398684546203,30
valid,invalid,Llama-2-13b-hf,food_vegetables_healthy^violate^valid,food_vegetables_healthy,1,True,True,False,2.719,4.383,1.0,1.0,-1.109,-1.387,0.14900000000000002,4.7330000000000005,157.99020000000002,19,1.102,1.102,0.95,13.982325371474815,18,185.9827,20,67.78930000000001,2.9850000000000003,30,61.55730513230876,27.355675696680056,30
valid,invalid,Llama-2-13b-hf,food_vegetables_healthy^violate^valid,food_vegetables_healthy,2,True,True,False,2.799,4.316,1.0,1.0,-1.196,-1.64,0.02400000000000002,4.172000000000001,155.2072,19,1.3060000000000003,1.3060000000000003,0.95,12.991993936620744,18,190.7149,20,62.11009999999999,3.7770000000000006,30,58.86387739791606,27.00609287639129,30
invalid,valid,Llama-2-13b-hf,food_vegetables_healthy^violate^invalid,food_vegetables_healthy,1,False,True,False,2.791,4.387,0.5,0.045454545454545456,-1.237,-5.832,-0.05400000000000005,-4.247,155.1686,19,4.270999999999999,4.270999999999999,1.0,8.919508878503295,27,250.54850000000002,20,3.8675000000000006,62.67649999999999,27,27.525849160926793,58.569882561890495,25
invalid,valid,Llama-2-13b-hf,food_vegetables_healthy^violate^invalid,food_vegetables_healthy,2,False,True,False,2.805,4.375,0.5,0.03571428571428571,-1.257,-6.11,-0.08599999999999985,-4.575,156.327,19,4.489000000000001,4.489000000000001,1.0,8.77855485041946,27,252.256,20,3.6729999999999996,65.2883,27,27.662790678059658,59.44081852651114,25
